ward,councillor_name,alignment,alignment_delta,lean,p_w,coattail_adjustment
1,Vincent Crisanti,0.46,-0.37079999999999996,-0.0927521617611507,0.3801116151332193,-0.07047269344569884
2,Stephen Holyday,0.14,-0.6908,-0.15949852273930523,0.3133652541550648,-0.10823635878515937
3,Amber Morley,0.95,0.11919999999999997,-0.0772488521770413,0.3956149247173287,0.023578649513152784
4,Gord Perks,0.96,0.12919999999999998,0.12785832768821276,0.6007221045825828,0.03880664795603484
5,Frances Nunziata,0.86,0.029200000000000004,-0.0760570455422529,0.3968067313521171,0.00579337827774091
6,James Pasternak,0.64,-0.19079999999999997,-0.1319410984767716,0.3409226784175984,-0.03252402352103888
7,Anthony Perruzza,0.74,-0.09079999999999999,-0.09029494342534539,0.3825688334690246,-0.017368625039493716
8,Mike Colle,0.89,0.05920000000000003,-0.13419364521674854,0.33867013167762144,0.0100246358976576
9,Alejandra Bravo,0.96,0.12919999999999998,0.12603094209833637,0.5988947189927063,0.03868859884692882
10,Ausma Malik,0.96,0.12919999999999998,0.12540693702304495,0.5982707139174149,0.038648288119065
11,Dianne Saxe,0.95,0.11919999999999997,0.09680490263167896,0.5696686795260489,0.03395225329975251
12,Josh Matlow,0.96,0.12919999999999998,-0.03628274935278375,0.43658102754158623,0.028203134379186468
13,Chris Moise,0.98,0.1492,0.17424253372790888,0.6471063106222789,0.048274130772422
14,Paula Fletcher,0.96,0.12919999999999998,0.1472098153422945,0.6200735922366645,0.04005675405848852
15,Rachel Chernos Lin,0.94,0.10919999999999996,-0.11030990263999901,0.36255387425437097,0.01979544153428865
16,Jon Burnside,0.66,-0.17079999999999995,-0.03663892555662118,0.4362248513377488,-0.03725360230424374
17,Shelley Carroll,0.96,0.12919999999999998,-0.033475941725362224,0.43938783516900776,0.0283844541519179
18,Lily Cheng,0.84,0.009199999999999986,-0.023112042914608943,0.44975173397976104,0.0020688579763068976
19,Brad Bradford,0.48,-0.3508,0.05891860087746137,0.5317823777718313,-0.09327462906117921
20,Parthi Kandavel,0.86,0.029200000000000004,-0.014733411045019296,0.4581303658493507,0.0066887033414005205
21,Michael Thompson,0.94,0.10919999999999996,-0.026128062228122473,0.4467357146662475,0.024391770020777106
22,Nick Mantas,0.81,-0.02079999999999993,0.027482904324486024,0.500346681218856,-0.005203605484676084
23,Jamaal Myers,0.96,0.12919999999999998,0.09978579090437861,0.5726495677987486,0.036993162079799156
24,Paul Ainslie,0.96,0.12919999999999998,-0.06666128122164788,0.4062024956727221,0.026240681220457845
25,Neethan Shan,0.95,0.11919999999999997,-0.04801424013434419,0.4248495367600258,0.02532103239089753
