year,ward,candidate,votes
2022,1,Acton Blake,302
2022,1,Arrobas Avraham,42
2022,1,Atkinson Darren,111
2022,1,Brown Chloe-Marie,979
2022,1,Buckingham Drew,67
2022,1,Caputolan Elvira,75
2022,1,Clarke Kevin,247
2022,1,Climenhaga Sarah,190
2022,1,D'Cruze Phillip,97
2022,1,Deville Cory,63
2022,1,Efimovskikh Alexey,20
2022,1,Gamk Isabella,48
2022,1,Gupta Arjun,381
2022,1,Handjis Peter,34
2022,1,Hatton Robert,76
2022,1,Hossain Monowar,141
2022,1,Hossain Soaad,86
2022,1,Jamal Khadijah,270
2022,1,Langenfeld Kris,62
2022,1,Letonja John,49
2022,1,Luk Tony,114
2022,1,Malek Ferin,48
2022,1,Penalosa Gil,1019
2022,1,Punwasi Stephen,100
2022,1,Renée D!ONNE,64
2022,1,Schwartz Kyle,46
2022,1,Singh Knia,197
2022,1,Srivastava Sandeep,176
2022,1,Tory John,11146
2022,1,Tull Reginald,141
2022,1,Yan Jack,121
2022,2,Acton Blake,617
2022,2,Arrobas Avraham,26
2022,2,Atkinson Darren,95
2022,2,Brown Chloe-Marie,1072
2022,2,Buckingham Drew,99
2022,2,Caputolan Elvira,62
2022,2,Clarke Kevin,171
2022,2,Climenhaga Sarah,303
2022,2,D'Cruze Phillip,82
2022,2,Deville Cory,47
2022,2,Efimovskikh Alexey,37
2022,2,Gamk Isabella,41
2022,2,Gupta Arjun,70
2022,2,Handjis Peter,22
2022,2,Hatton Robert,71
2022,2,Hossain Monowar,33
2022,2,Hossain Soaad,38
2022,2,Jamal Khadijah,52
2022,2,Langenfeld Kris,53
2022,2,Letonja John,43
2022,2,Luk Tony,138
2022,2,Malek Ferin,34
2022,2,Penalosa Gil,2637
2022,2,Punwasi Stephen,203
2022,2,Renée D!ONNE,45
2022,2,Schwartz Kyle,48
2022,2,Singh Knia,119
2022,2,Srivastava Sandeep,39
2022,2,Tory John,19743
2022,2,Tull Reginald,300
2022,2,Yan Jack,192
2022,3,Acton Blake,657
2022,3,Arrobas Avraham,35
2022,3,Atkinson Darren,140
2022,3,Brown Chloe-Marie,1838
2022,3,Buckingham Drew,113
2022,3,Caputolan Elvira,86
2022,3,Clarke Kevin,204
2022,3,Climenhaga Sarah,468
2022,3,D'Cruze Phillip,102
2022,3,Deville Cory,60
2022,3,Efimovskikh Alexey,57
2022,3,Gamk Isabella,98
2022,3,Gupta Arjun,131
