ward,candidate_name,name_recognition_tier,mayoral_alignment,endorsements,notes,last_updated
1,Abraham Abbey,unknown,unaligned,,,2026-05-19
1,Ala'a Adib,unknown,unaligned,,,2026-07-18
1,Saima Babar,unknown,unaligned,,,2026-05-19
1,Norman Hamilton,unknown,unaligned,,,2026-05-19
2,Jennifer Alexander,unknown,unaligned,,,2026-05-19
4,Nadia Guerrera,known,unaligned,,Ontario Liberal Party candidate in York South—Weston (2022) and Parkdale—High Park (2025),2026-05-07
4,Diana Chan McNally,unknown,unaligned,,Housing advocate,2026-05-07
4,Bridget Ogundipe,unknown,unaligned,,,2026-05-19
4,Adam Pham,unknown,unaligned,,,2026-05-19
4,Vanessa Raponi,unknown,unaligned,,,2026-05-19
5,Chiara Padovani,well-known,unaligned,,Tenant advocate; runner-up in Ward 5 in the 2022 election,2026-05-07
5,Daniel Di Giorgio,unknown,unaligned,,,2026-05-19
5,Nekpen Obasogie,unknown,unaligned,,,2026-05-19
7,Lorna Antwi,unknown,unaligned,,,2026-05-19
7,Amanda Coombs,unknown,unaligned,,,2026-05-19
8,Jason McDonald,unknown,unaligned,,,2026-05-19
8,Enzo Torrone,unknown,unaligned,,,2026-05-19
8,Daniel Trayes,unknown,unaligned,,,2026-05-19
10,Bashar Kassir,unknown,unaligned,,,2026-05-19
10,Paul Nash,unknown,unaligned,,,2026-05-19
10,Husain Neemuchwala,unknown,unaligned,,,2026-05-19
11,Gabe Blanc,unknown,unaligned,,Former policy analyst for Councillor Shelley Carroll,2026-07-18
11,Keenan Courtis,unknown,unaligned,,,2026-05-19
11,Terri Hawkes,unknown,unaligned,,,2026-05-19
11,Alice Li,unknown,unaligned,,,2026-05-19
11,Huy Lieu,unknown,unaligned,,,2026-05-19
13,Walied Khogali Ali,known,unaligned,,Co-chair of the Regent Park Neighbourhood Association; fifth-place candidate in Ward 13 in the 2018 election,2026-05-07
13,Curran Stikuts,known,chow,,Former advocacy director of The 519 community centre; polled 6% (decided) in Forum Ward 13 poll of 2026-06-23 and 89% of his supporters back Chow for mayor,2026-07-01
13,Nicki Ward,well-known,unaligned,,Former president of a housing co-op; runner-up in Ward 13 in the 2022 election; Green Party candidate in Toronto Centre in the 2022 provincial election; not among top three named in Forum Ward 13 poll of 2026-06-23 (implies <=6% decided) — watch for tier downgrade if a second poll confirms,2026-05-07
13,Daniel Tate,known,unaligned,,NOT YET REGISTERED (inert until he appears in the city API); polled 19% (decided) in Forum Ward 13 poll of 2026-06-23 — second behind Moise; only 25% of his supporters back Chow for mayor,2026-07-01
13,Joe Cadeau,unknown,unaligned,,,2026-05-19
13,Tom Cai,unknown,unaligned,,,2026-05-19
17,Sabrina Zuniga,unknown,unaligned,,,2026-05-19
18,Nathan Yusifov,unknown,unaligned,,,2026-07-18
19,James Dann,unknown,unaligned,,Former manager of waterfront parks for the City of Toronto,2026-05-07
19,Natalie Johnson,known,unaligned,,CTV News journalist,2026-05-19
19,Kevin Morrison,known,unaligned,,Toronto Catholic District School Board trustee,2026-05-07
19,Adam Smith,known,unaligned,,Third-place finisher in Ward 19 in the 2022 election,2026-05-07
19,Tycen Legg,unknown,unaligned,,,2026-05-19
19,Austin Vieira,unknown,unaligned,,,2026-05-19
19,Jeff Wahl,unknown,unaligned,,,2026-05-19
20,Ariel-Rachel Karokis,unknown,unaligned,,,2026-05-19
20,Philip Mills,unknown,unaligned,,,2026-05-19
21,Taiba Ahmed,unknown,unaligned,,,2026-05-19
21,Madura Shanmugaratnam,unknown,unaligned,,,2026-05-19
21,Krissan Veerasingam,unknown,unaligned,,,2026-05-19
22,Dan Lovell,known,unaligned,,Ran for the NDP in Scarborough—Agincourt in the 2025 federal election,2026-05-07
23,Kevin Li,unknown,unaligned,,,2026-05-19
25,Shawn Allen,known,unaligned,,Placed third in the 2025 by-election,2026-05-07
