ward,first_name,last_name,status,date_nomination
1,Abraham,Abbey,Active,2026-05-08
1,Ala'a,Adib,Active,2026-05-01
1,Saima,Babar,Active,2026-05-01
1,Vincent,Crisanti,Active,2026-05-12
1,Norman,Hamilton,Active,2026-05-12
2,Jennifer,Alexander,Active,2026-05-01
3,Anthony,Internicola,Active,2026-06-11
3,Ted,Opitz,Active,2026-06-09
4,Michael,Corcoran,Active,2026-06-19
4,Nadia,Guerrera,Active,2026-05-01
4,Debbie,King,Active,2026-05-29
4,Diana Chan,McNally,Active,2026-05-01
4,Bridget,Ogundipe,Active,2026-05-05
4,Adam,Pham,Active,2026-05-01
4,Vanessa,Raponi,Active,2026-05-01
4,Lloyd,Traiforos,Active,2026-06-17
4,Holly,Weber,Active,2026-06-09
5,Daniel,Di Giorgio,Active,2026-05-01
5,Nekpen,Obasogie,Active,2026-05-08
5,Chiara,Padovani,Active,2026-05-01
5,Sileen,Phillips,Active,2026-06-15
6,Conroy,Irving,Active,2026-06-08
6,James,Pasternak,Active,2026-05-25
7,Lorna,Antwi,Active,2026-05-11
7,Amanda,Coombs,Active,2026-05-01
8,Mike,Colle,Active,2026-05-01
8,Liz,Grade,Active,2026-05-28
8,Jason,McDonald,Active,2026-05-07
8,Enzo,Torrone,Active,2026-05-11
8,Daniel,Trayes,Active,2026-05-01
9,Neil,Simon,Active,2026-06-12
10,Xue,Ding,Active,2026-06-22
10,Andi,Hoang-Lefranc,Active,2026-06-18
10,Bashar,Kassir,Active,2026-05-08
10,Paul,Nash,Active,2026-05-01
10,Husain,Neemuchwala,Active,2026-05-12
10,Aanchal,Vashistha,Active,2026-05-27
11,Gabe,Blanc,Active,2026-05-01
11,Keenan,Courtis,Active,2026-05-01
11,Dana,Fisher,Active,2026-05-27
11,Terri,Hawkes,Active,2026-05-01
11,Alice,Li,Active,2026-05-04
11,Huy,Lieu,Active,2026-05-07
11,Gian,Pileri,Active,2026-06-11
11,Diana,Yoon,Active,2026-05-20
12,Jenny,Kalimbet,Active,2026-06-17
12,Joshua,Kishner,Active,2026-06-01
12,Mina,Nadimi,Active,2026-06-10
13,Joe,Cadeau,Active,2026-05-06
13,Tom,Cai,Active,2026-05-14
13,Victoria,Davis,Active,2026-05-26
13,Walied,Khogali Ali,Active,2026-05-01
13,Curran,Stikuts,Active,2026-05-01
13,Nicki,Ward,Active,2026-05-01
14,Susan,Chapelle,Active,2026-06-01
14,Jason,Stevens,Active,2026-05-29
16,Jon,Burnside,Active,2026-06-02
16,Sinan,Erdemir,Active,2026-06-18
16,Stacey,Moffatt,Active,2026-06-05
17,Jeffery,Adamson,Active,2026-06-01
17,Shelley,Carroll,Active,2026-05-04
17,Gregory,Rodriguez,Active,2026-05-27
17,Roy,Samathanam,Active,2026-06-01
17,Sabrina,Zuniga,Active,2026-05-01
18,Nathan,Yusifov,Active,2026-05-01
18,Ardeshir,Zarezade,Active,2026-05-25
19,James,Dann,Active,2026-05-01
19,Natalie,Johnson,Active,2026-05-11
19,Tycen,Legg,Active,2026-05-01
19,Kevin,Morrison,Active,2026-05-05
19,Adam,Smith,Active,2026-05-01
19,Austin,Vieira,Active,2026-05-07
19,Jeff,Wahl,Active,2026-05-08
19,Devin,Wilkins,Active,2026-06-09
19,Jennie,Worden,Active,2026-05-21
20,Malik,Ahmad,Active,2026-05-15
20,Ariel-Rachel,Karokis,Active,2026-05-01
20,Philip,Mills,Active,2026-05-01
20,Sharmina,Nasrin,Active,2026-06-01
20,Mohammad Ali,Reza,Active,2026-06-05
20,Kevin,Rupasinghe,Active,2026-06-16
21,Taiba,Ahmed,Active,2026-05-08
21,Patience,Evbagharu,Active,2026-06-24
21,Madura,Shanmugaratnam,Active,2026-05-11
21,Krissan,Veerasingam,Active,2026-05-01
22,Madhuri,Azad,Active,2026-05-19
22,Jackson,Ho,Active,2026-06-12
22,Dan,Lovell,Active,2026-05-01
22,Donny,Morgan,Active,2026-06-19
23,Han,Dong,Active,2026-06-17
23,Kevin,Li,Active,2026-05-01
23,Jamaal,Myers,Active,2026-05-19
25,Shawn,Allen,Active,2026-05-01
25,Ashan,Fernando,Active,2026-06-22
25,Cheryl,Lewis-Thurab,Active,2026-06-16
25,Jannette,Lumley,Active,2026-05-15
