first_name,last_name,status,date_nomination
Imad,Abdulkadir,Active,2026-08-14
Bahira,Abdulsalam,Active,2026-05-14
Chris,Alexander,Active,2026-07-29
Jamie,Atkinson,Active,2026-07-07
Brad,Bradford,Active,2026-05-01
Darrell,Brown,Active,2026-05-28
Brian,Buffey,Active,2026-08-14
Braeden,Chow,Active,2026-05-21
Olivia,Chow,Active,2026-05-25
Logan,Choy,Active,2026-08-17
Paul,Collins,Active,2026-08-18
Roberto,Curto,Active,2026-08-11
Laura,Dean,Active,2026-07-30
Cory,Deville,Active,2026-05-01
Wincess,Dorville,Active,2026-08-12
Laura,Ellis,Active,2026-05-01
Martin,Fraser,Active,2026-06-23
Alton,Frederick,Active,2026-08-14
Edward,Gong,Active,2026-05-06
Faizan,Haider,Active,2026-05-20
Thomas,Hall,Active,2026-07-22
Peter,Handjis,Active,2026-05-01
Jack,Hartley,Active,2026-08-13
Heather,He,Active,2026-05-01
Mohamad,Kaaki,Active,2026-07-13
Georgios,Kalkounis,Active,2026-06-22
Isidoros,Kyrlangitses,Active,2026-05-01
Michael,Lamoureux,Active,2026-05-13
Rick,Lee,Active,2026-07-15
Eddie,Mayanja,Active,2026-07-02
Sarah,McVie,Active,2026-05-01
Joseph,Osuji,Active,2026-07-17
Odessa Paloma,Parker,Active,2026-05-29
Faisal,Razi,Active,2026-07-31
Amy,Rosen,Active,2026-07-14
Srivastava,Sandeep,Active,2026-08-19
Lyall,Sanders,Active,2026-05-01
Naomi,Sayers,Active,2026-05-28
Robert,Shusterman,Active,2026-05-15
Sandeep,Srivastava,Active,2026-08-20
Weizhen,Tang,Active,2026-05-05
Joshua,Thompson,Active,2026-08-18
Jeffery,Tunney,Active,2026-06-29
Jack,Weenen,Active,2026-07-21
Leila,Yohannes,Active,2026-07-31
Mostafa,Zandkarimi,Active,2026-08-05
