ward,councillor_name,alignment_chow,alignment_tory,last_updated
1,Vincent Crisanti,0.46,1.00,2026-03-10
2,Stephen Holyday,0.14,0.38,2026-03-10
3,Amber Morley,0.95,0.25,2026-03-10
4,Gord Perks,0.96,0.25,2026-03-10
5,Frances Nunziata,0.86,1.00,2026-03-10
6,James Pasternak,0.64,0.88,2026-03-10
7,Anthony Perruzza,0.74,0.29,2026-03-10
8,Mike Colle,0.89,0.63,2026-03-10
9,Alejandra Bravo,0.96,0.25,2026-03-10
10,Ausma Malik,0.96,0.25,2026-03-10
11,Dianne Saxe,0.95,0.43,2026-03-10
12,Josh Matlow,0.96,0.25,2026-03-10
13,Chris Moise,0.98,0.50,2026-03-10
14,Paula Fletcher,0.96,0.25,2026-03-10
15,Rachel Chernos Lin,0.94,0.50,2026-03-10
16,Jon Burnside,0.66,0.71,2026-03-10
17,Shelley Carroll,0.96,0.88,2026-03-10
18,Lily Cheng,0.84,0.38,2026-03-10
19,Brad Bradford,0.48,0.88,2026-03-10
20,Parthi Kandavel,0.86,1.00,2026-03-10
21,Michael Thompson,0.94,0.88,2026-03-10
22,Nick Mantas,0.81,0.88,2026-03-10
23,Jamaal Myers,0.96,0.38,2026-03-10
24,Paul Ainslie,0.96,0.63,2026-03-10
25,Neethan Shan,0.95,0.88,2026-03-10
