Ward,Ward Name,Elected Councillor,Runner-Up,Votes Received,Vote Share,Ward Population (2021),Eligible Electors,Number Voted,Ward Turnout (Eligible),Elector Share,Team Chow Score,Provincial Electors 2025,Est New Voters,Winning margin,New Voter Margin,Rank: Vote Share,Rank: Elector Share,Rank: New Voter Margin,Defeatability Score
10,Spadina-Fort York,Ausma Malik,April Engelberg,8033,36.55%,135400,95433,21978,23.03%,8.42%,95.7%,109204,13771,3343,10428,22,24,24,70
11,University-Rosedale,Dianne Saxe,Norm Di Pasquale,8614,35.37%,102385,80347,24351,30.31%,10.72%,94.4%,89216,8869,123,8746,24,21,23,68
20,Scarborough Southwest*,Parthi Kandavel,Kevin Rupasinghe,4641,27.34%,110095,78906,16974,21.51%,5.88%,84.7%,81880,2974,787,2187,25,26,15,66
18,Willowdale,Lily Cheng,Markus O'Brien Fehr,8337,41.72%,117130,69996,19981,28.55%,11.91%,82.4%,84081,14085,1628,12457,19,20,25,64
25,Scarborough-Rouge Park*,Neethan Shan,Anu Sriskandarajah,5174,26.83%,101485,77990,19284,24.73%,6.63%,91.7%,78813,823,1800,-977,26,25,10,61
Mayor,City of Toronto,Olivia Chow,Ana Bailao,269372,37.17%,2761290,1947242,724638,37.21%,13.83%,100.0%,2090960,143718,34197,109521,21,13,26,60
1,Etobicoke North,Vincent Crisanti,Avtar Minhas,6815,41.07%,115120,70797,16595,23.44%,9.63%,48.6%,76734,5937,3406,2531,20,22,16,58
23,Scarborough North**,Jamaal Myers,Phillip Francis,5315,51.09%,94025,61338,10403,16.96%,8.67%,95.4%,66842,5504,2560,2944,13,23,19,55
4,Parkdale-High Park,Gord Perks,Chemi Lhamo,11149,35.48%,104715,83800,31425,37.50%,13.30%,95.7%,87683,3883,1230,2653,23,14,17,54
13,Toronto Centre,Chris Moise,Nicki Ward,10457,48.48%,116930,80096,21568,26.93%,13.06%,97.7%,92620,12524,6517,6007,15,18,21,54
5,York South-Weston,Frances Nunziata,Chiara Padovani,10077,47.61%,115675,76907,21167,27.52%,13.10%,85.9%,82710,5803,94,5709,16,17,20,53
16,Don Valley East,Jon Burnside,Stephen Ksiazek,8147,44.68%,94335,61583,18234,29.61%,13.23%,65.5%,68774,7191,4369,2822,18,15,18,51
3,Etobicoke-Lakeshore,Amber Morley,Mark Grimes,15271,46.44%,139920,102797,32883,31.99%,14.86%,94.5%,111858,9061,2013,7048,17,11,22,50
22,Scarborough-Agincourt,Nick Mantas,Bill Wu,8228,48.89%,103690,67123,16831,25.07%,12.26%,78.8%,73529,6406,5075,1331,14,19,14,47
7,Humber River-Black Creek,Anthony Perruzza,Christopher Mammoliti,8707,61.30%,111200,66162,14204,21.47%,13.16%,74.7%,72740,6578,5492,1086,9,16,13,38
21,Scarborough Centre,Michael Thompson,Muhammad Ayub,9977,55.25%,111560,71240,18057,25.35%,14.00%,92.9%,79287,8047,7499,548,10,12,12,34
15,Don Valley West*,Rachel Chernos Lin,Anthony Furey,12899,54.76%,101025,74942,23555,31.43%,17.21%,93.0%,76018,1076,5556,-4480,11,10,6,27
19,Beaches-East York,Brad Bradford,Jennie Worden,15169,54.71%,108500,77782,27728,35.65%,19.50%,47.1%,84615,6833,8878,-2045,12,6,8,26
17,Don Valley North,Shelley Carroll,Daryl Christoff,12897,71.79%,112590,70517,17965,25.48%,18.29%,96.1%,80903,10386,10468,-82,6,8,11,25
6,York Centre,James Pasternak,Mike Arkin,12187,73.53%,107355,68296,16574,24.27%,17.84%,65.1%,76907,8611,10271,-1660,4,9,9,22
8,Eglinton-Lawrence,Mike Colle,Evan Sambasivam,17109,70.31%,114820,79418,24334,30.64%,21.54%,88.8%,86989,7571,13662,-6091,8,3,5,16
24,Scarborough-Guildwood,Paul Ainslie,Vivian Parker,12483,76.52%,102755,64080,16313,25.46%,19.48%,95.2%,70700,6620,10663,-4043,2,7,7,16
9,Davenport,Alejandra Bravo,Grant Gonzales,17009,70.72%,104730,81355,24050,29.56%,20.91%,95.7%,84624,3269,13817,-10548,7,4,3,14
2,Etobicoke Centre,Stephen Holyday,Thomas Yanuziello,18559,72.28%,117200,89491,25678,28.69%,20.74%,14.0%,96769,7278,15906,-8628,5,5,4,14
14,Toronto-Danforth,Paula Fletcher,Wali Abro,20305,74.02%,104555,79533,27433,34.49%,25.53%,95.5%,85825,6292,18323,-12031,3,2,2,7
12,Toronto-St. Paul’s,Josh Matlow,Bryan Ashworth,22670,84.65%,114095,83877,26782,31.93%,27.03%,95.7%,91639,7762,20625,-12863,1,1,1,3
