election_year,ward,boundary_era,candidate_name,candidate_key,votes,is_acclaimed,source_url,vote_share,is_winner
2003,1,44_ward,"Hall, Suzan",hall suzan,3462,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.30850115843878095,True
2003,1,44_ward,"Crisanti, Vincent",crisanti vincent,2580,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.22990554268401356,False
2003,1,44_ward,"Chahal, Ranjeet",chahal ranjeet,1737,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.154785243272144,False
2003,1,44_ward,"Elahi, Hazoor",elahi hazoor,1016,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.0905364462662627,False
2003,1,44_ward,"Caputo, Anthony",anthony caputo,948,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.08447692033505615,False
2003,1,44_ward,"Munroe, Michelle",michelle munroe,857,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.07636784886829442,False
2003,1,44_ward,"Freed, Ikram",freed ikram,491,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.04375334165032971,False
2003,1,44_ward,"Gill, Chitranjan",chitranjan gill,92,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.008198182142220638,False
2003,1,44_ward,"Khipple, Singh",khipple singh,39,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.0034753163428978794,False
2003,2,44_ward,"Ford, Rob",ford rob,10601,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.7939634511683643,True
2003,2,44_ward,"Dahir, Mohamed",dahir mohamed,2155,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.16139904134212102,False
2003,2,44_ward,"Jama, Abdi",abdi jama,596,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.04463750748951468,False
2003,3,44_ward,"Holyday, Doug",doug holyday,12207,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.7080215764746824,True
2003,3,44_ward,"Vaughan, Ross",ross vaughan,2565,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.14877327301200627,False
2003,3,44_ward,"Ferraro, Maurice",ferraro maurice,1336,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.07748970477350502,False
2003,3,44_ward,"Saeed, Amber",amber saeed,1133,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.06571544573980627,False
2003,4,44_ward,"Lindsay Luby, Gloria",gloria lindsay luby,9237,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.4867727655986509,True
2003,4,44_ward,"Giansante, Mario",giansante mario,6987,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.36820193929173695,False
2003,4,44_ward,"Thiele, Stephen",stephen thiele,2491,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.13127107925801013,False
2003,4,44_ward,"Sumka, John",john sumka,261,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.013754215851602023,False
2003,5,44_ward,"Milczyn, Peter",milczyn peter,12729,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.714389942754518,True
2003,5,44_ward,"Grabowski, Stan",grabowski stan,5089,False,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,0.2856100572454821,False
