source_document_id,city_id,election_year,publisher_url,retrieval_url,media_type,sha256,local_path,byte_size,verification_status,notes
toronto_2000_result,toronto,2000,http://www.city.toronto.on.ca/vote2000/live_final/000.htm,https://web.archive.org/web/20010214042440id_/http://www.city.toronto.on.ca/vote2000/live_final/000.htm,text/html,513988ddce0949b081f69fd2abf9d35060e156b3136112da111c00a0dda4070b,data/source_documents/mayoral_comparison_population/toronto_2000/city_toronto_2000_mayor_final_results.html,4694,verified_artifact,Archived City final-results page with every mayor candidate and all 1992 polls reporting.
toronto_2006_declaration,toronto,2006,https://www.toronto.ca/wp-content/uploads/2017/08/8f72-election-2006-clerksofficialdeclaration.pdf,https://www.toronto.ca/wp-content/uploads/2017/08/8f72-election-2006-clerksofficialdeclaration.pdf,application/pdf,257747473d28108627d936801e285ac862bd55dc3b26f3e92535cfe3c9199e6a,data/source_documents/mayoral_comparison_population/toronto/toronto_2006_declaration.pdf,99919,verified_artifact,Clerk official declaration.
toronto_2018_declaration,toronto,2018,https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf,https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf,application/pdf,0cadb64a6d8a4a96f1f15b1e2b8c14a6fb9878f997ac1bf5f2a5ca1d8b334e37,data/source_documents/mayoral_comparison_population/toronto/toronto_2018_declaration.pdf,633245,verified_artifact,Clerk official declaration.
toronto_2022_declaration,toronto,2022,https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf,https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf,application/pdf,efffd0790e96ef2c4c0f52939842495662dbd88c033e2df2200484100fc9d90e,data/source_documents/mayoral_comparison_population/toronto/toronto_2022_declaration.pdf,350815,verified_artifact,Clerk final declaration.
ottawa_2006_result,ottawa,2006,http://ottawa.ca/elections/results_en.html,https://web.archive.org/web/20061215090347id_/http://ottawa.ca/elections/results_en.html,text/html,099f315b7be846b7cb3d02bf8e70146b99b43dd09feeb4ca08fd94313fae7fd1,data/source_documents/mayoral_comparison_population/ottawa/ottawa_2006_official_results.html,94654,verified_artifact,Archived City official jurisdiction-wide results.
ottawa_2010_result,ottawa,2010,http://ottawa.ca/city_hall/elections/results_en.html,https://web.archive.org/web/20101113145456id_/http://ottawa.ca/city_hall/elections/results_en.html,text/html,9609186e7ea1bd15d9b4612843ad368e7f4b122d16415887065a206b5ed2d91d,data/source_documents/mayoral_comparison_population/ottawa/ottawa_2010_official_results.html,54657,verified_artifact,Archived City official jurisdiction-wide results.
ottawa_2014_result,ottawa,2014,https://www.arcgis.com/home/item.html?id=1281bd2bdd26477397aad7f2b71d6c0a,https://www.arcgis.com/sharing/rest/content/items/1281bd2bdd26477397aad7f2b71d6c0a/data,application/vnd.ms-excel,3eb5fa6e3a38e5d67fd5a89ebbce1eb65f7e5478d141d4669ddf130b17290b97,data/source_documents/mayoral_comparison_population/ottawa/ottawa_2014_statement_of_votes_cast.xls,813568,verified_artifact,City open-data poll-by-poll workbook; city totals agree exactly with the archived official dynamic XML payloads retained beside it.
ottawa_2018_result,ottawa,2018,https://www.arcgis.com/home/item.html?id=8cb37c0751dc4ce2ae5d92fb5d85cd0a,https://www.arcgis.com/sharing/rest/content/items/8cb37c0751dc4ce2ae5d92fb5d85cd0a/data,application/vnd.ms-excel,7dffdce28224830f205e4a3ceab6c965952426f1f77f97f77e01c7c91a15dda2,data/source_documents/mayoral_comparison_population/ottawa/ottawa_2018_statement_of_votes_cast.xls,1328128,verified_artifact,City open-data poll-by-poll workbook; city totals agree exactly with the archived official dynamic XML payloads retained beside it.
hamilton_2006_result,hamilton,2006,https://en.wikipedia.org/w/index.php?title=2006_Hamilton%2C_Ontario%2C_municipal_election&oldid=228503734,https://en.wikipedia.org/w/index.php?title=2006_Hamilton%2C_Ontario%2C_municipal_election&oldid=228503734,text/html,24ee959f98124332de2967a236d952c47f6fde1a1eaf4670b641828fa0669f80,data/source_documents/mayoral_comparison_population/hamilton/hamilton_2006_wikipedia_oldid_228503734.html,93636,corroborated_secondary,Durable 2008 revision preserves the complete City-return table; a contemporaneous civic report and major-news coverage independently corroborate the winner and top-two result. Binary outcome grade A; numeric table grade B; certified City payload missing. See docs/research/hamilton-2006-official-mayoral-result.md.
hamilton_2010_result,hamilton,2010,http://old.hamilton.ca/clerk/election/2010-election-results/default.asp,https://web.archive.org/web/20160122115108id_/http://old.hamilton.ca/clerk/election/2010-election-results/default.asp,text/html,8ccd06fecf6d33481a068ee7dcd2c2a1e7eba58124fe67296972a1e1a049daa0,data/source_documents/mayoral_comparison_population/hamilton/hamilton_2010_official_results.html,41538,verified_artifact,Archived City official jurisdiction-wide GEMS summary.
