trial_id,city_id,city_name,election_date,population_group,term_length_years,incumbent_candidate_id,incumbent_name,incumbent_votes,strongest_opponent_candidate_id,strongest_opponent_name,strongest_opponent_votes,valid_votes,final_candidate_count,source_document_id,source_locator,notes
toronto_2000,toronto,Toronto,2000-11-13,toronto_pre_2006_sensitivity,3,lastman-mel,Mel Lastman,483277,gomberg-tooker,Tooker Gomberg,51111,604394,26,toronto_2000_result,Citywide mayor table with 1992 of 1992 polls reporting,Pre-2006 three-year term retained only as the Toronto-specific sensitivity.
toronto_2006,toronto,Toronto,2006-11-13,v1_regular,4,miller-david,David Miller,332969,pitfield-jane,Jane Pitfield,188932,584484,38,toronto_2006_declaration,PDF physical page 2 Mayor table,
toronto_2018,toronto,Toronto,2018-10-22,v1_regular,4,tory-john,John Tory,479659,keesmaat-jennifer,Jennifer Keesmaat,178193,755493,35,toronto_2018_declaration,PDF physical page 2 Office of Mayor,
toronto_2022,toronto,Toronto,2022-10-24,v1_regular,4,tory-john,John Tory,342158,penalosa-gil,Gil Penalosa,98525,551890,31,toronto_2022_declaration,PDF physical page 2 Office of Mayor,
ottawa_2006,ottawa,Ottawa,2006-11-13,v1_regular,4,chiarelli-bob,Bob Chiarelli,46697,obrien-larry,Larry O'Brien,141262,300039,7,ottawa_2006_result,Citywide Mayor table,
ottawa_2010,ottawa,Ottawa,2010-10-25,v1_regular,4,obrien-larry,Larry O'Brien,64862,watson-jim,Jim Watson,131323,269640,20,ottawa_2010_result,Citywide Mayor table,
ottawa_2014,ottawa,Ottawa,2014-10-27,v1_regular,4,watson-jim,Jim Watson,189253,maguire-mike,Mike Maguire,46341,248369,8,ottawa_2014_result,City Total sheet Mayor rows,Workbook city totals independently match the archived official XML identity/result join.
ottawa_2018,ottawa,Ottawa,2018-10-22,v1_regular,4,watson-jim,Jim Watson,188960,doucet-clive,Clive Doucet,59156,266024,12,ottawa_2018_result,City Total sheet Mayor rows,Workbook city totals independently match the archived official XML identity/result join.
hamilton_2006,hamilton,Hamilton,2006-11-13,v1_regular,4,di-ianni-larry,Larry Di Ianni,53658,eisenberger-fred,Fred Eisenberger,54110,125239,7,hamilton_2006_result,Archived 2008 revision Mayor table derived from City returns,Certified City payload is missing; admit with corroborated-secondary status and retain a continuous-share sensitivity that excludes this trial.
hamilton_2010,hamilton,Hamilton,2010-10-25,v1_regular,4,eisenberger-fred,Fred Eisenberger,38719,bratina-bob,Bob Bratina,52684,141174,15,hamilton_2010_result,Jurisdiction Wide Mayor table,
hamilton_2018,hamilton,Hamilton,2018-10-22,v1_regular,4,eisenberger-fred,Fred Eisenberger,74093,sgro-vito,Vito Sgro,52190,137137,15,hamilton_2018_result,2018 Official Election Results Mayor table,
mississauga_2006,mississauga,Mississauga,2006-11-13,v1_regular,4,mccallion-hazel,Hazel McCallion,98229,barber-donald,Donald Barber,5571,107467,3,mississauga_2006_result,Mayor result table,
mississauga_2010,mississauga,Mississauga,2010-10-25,v1_regular,4,mccallion-hazel,Hazel McCallion,107643,cook-dave,Dave Cook,10744,140902,17,mississauga_2010_result,PDF physical page 3 Mayor table,
mississauga_2018,mississauga,Mississauga,2018-10-22,v1_regular,4,crombie-bonnie,Bonnie Crombie,91422,johnston-kevin-j,Kevin J. Johnston,16079,119229,8,mississauga_2018_result,PDF physical page 2 Mayor table,
mississauga_2022,mississauga,Mississauga,2022-10-24,v1_regular,4,crombie-bonnie,Bonnie Crombie,82736,shaw-david,David Shaw,7202,105432,8,mississauga_2022_result,PDF physical page 4 Mayor table,
brampton_2006,brampton,Brampton,2006-11-13,v1_regular,4,fennell-susan,Susan Fennell,51036,sharda-raj,Raj Sharda,9585,68186,5,brampton_2006_result,Mayor summary table,
brampton_2010,brampton,Brampton,2010-10-25,v1_regular,4,fennell-susan,Susan Fennell,42991,haines-bruce,Bruce Haines,15299,84834,5,brampton_2010_result,Mayor summary table,
brampton_2014,brampton,Brampton,2014-10-27,v1_regular,4,fennell-susan,Susan Fennell,12975,jeffrey-linda,Linda Jeffrey,51061,103504,14,brampton_2014_result,Jurisdiction Wide Mayor table,
brampton_2018,brampton,Brampton,2018-10-22,v1_regular,4,jeffrey-linda,Linda Jeffrey,42993,brown-patrick,Patrick Brown,46894,105553,7,brampton_2018_result,Mayor summary table,
brampton_2022,brampton,Brampton,2022-10-24,v1_regular,4,brown-patrick,Patrick Brown,50652,kaur-nikki,Nikki Kaur,21693,84919,6,brampton_2022_result,Mayor summary table,
