candidate_name,votes,is_winner,source_document_id,source_url,source_locator,source_sha256,source_completeness
John Tory,395124,true,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Doug Ford,331006,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Olivia Chow,227003,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Ari Goldkind,3916,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Selina Chan,2336,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Rocco Di Paola,1557,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Don Andrews,1012,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Morgan Baskin,1009,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Ramnarine Tiwari,1008,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
George Dedopoulos,941,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Said Aly,800,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Robb Johannes,756,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Jonathan Glaister,748,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Monowar Hossain,614,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Mike Gallay,570,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Sam Surendran,569,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Michael Tramov,560,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Kevin Clarke,547,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Matthew Wong,491,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Dewitt Lee,489,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Hïmy Syed,465,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Mark Cidade,453,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Troy Young,411,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Dave McKay,407,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
Michael Gordon,388,false,toronto_2014_official_declaration,https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf,PDF pages 2-3 (printed pages 1-2),007f5055da03ce1df17cb85c6c1871a1de822c55966e4518f845905fa4b12158,complete_official_candidate_totals
