hint_id,subject,candidate_regime,trigger_field,trigger_operator,trigger_value,trigger_definition,comparison,effect_unit,trigger_n,trigger_contests,trigger_elections,trigger_people,comparator_n,comparator_contests,mean_vote_share_trigger,mean_vote_share_comparator,elected_rate_trigger,elected_rate_comparator,adjusted_vote_share_effect_pp,ci_low_pp,ci_high_pp,bootstrap_p,direction,election_effects_pp,elections_same_direction,elections_estimable,evidence_status,evidence_tier,frontend_copy,limitation,catalog_eligible,superseded_by,display_group,paired_hint_id,family_q,catalog_status
own_returning_councillor__open_contest,own_history,open_contest,returning_councillor,equals,true,candidate_regime == open_contest AND returning_councillor == true,candidates in the same Candidate regime who were not returning councillors,presence_vs_absence,4,4,3,4,205,24,0.45281159171222396,0.09697322942949524,0.75,0.1024390243902439,36.43412494426566,26.451042314428275,50.14805118620117,0.002028397565922921,benefit,2010:+25.67|2014:+50.69|2022:+36.76,3,3,supported,consistent_small_sample,"Historically, in a limited four-contest sample, candidates returning after previously serving as a councillor received more council vote share in Open contests.",Only four independent historical Contests; approved only with the consistent_small_sample evidence tier.,True,,own_returning_councillor__open_contest,,0.005021520803443329,publish
opponent_returning_councillor__open_contest,opponent_history,open_contest,any_returning_councillor_opponent,equals,true,candidate_regime == open_contest AND any_returning_councillor_opponent == true,candidates in the same Candidate regime without a returning-councillor opponent,presence_vs_absence,41,4,3,41,168,24,0.050341672038577534,0.1168258919423437,0.024390243902439025,0.13690476190476192,-6.411743238996244,-13.13504050247775,-3.837335403447404,0.0020387359836901123,harm,2010:-3.88|2014:-6.16|2022:-7.48,3,3,supported,consistent_small_sample,"Historically, in a limited four-contest sample, candidates in Open contests received less council vote share when facing a Returning councillor.",Only four independent historical Contests; approved only with the consistent_small_sample evidence tier.,True,,opponent_returning_councillor__open_contest,,0.005021520803443329,publish
own_prior_win_type__trustee,own_history,all_primary_regimes,prior_office_types_won,contains_office_type,trustee,prior_office_types_won CONTAINS trustee,no_observed_prior_office_record,presence_vs_absence,17,16,3,10,677,113,0.44667042195978957,0.13508448356552158,0.7058823529411765,0.13146233382570163,18.66735492485493,11.652098456485126,25.897053079275395,0.001998001998001998,benefit,2010:+22.45|2014:+10.69|2022:+19.88,3,3,supported,consistent_across_elections,"Historically, candidates across comparable council candidates who had previously been elected school-board trustee received more council vote share.","Office-specific cells are interpreted against no observed record, not each other.",True,,own_prior_win_type__trustee,,,publish
own_any_all_past_race_victory__non_incumbent_non_returning,own_history,non_incumbent_non_returning_subgroup,has_all_prior_victory,equals_all_history_only,true,"candidate_regime IN (open_contest, non_incumbent_facing_incumbent) AND returning_councillor == false AND all_prior_candidacy_count > 0 AND has_all_prior_victory == true","non-incumbent, non-returning candidates with confirmed earlier races but no prior victory",presence_vs_absence,13,12,3,12,94,63,0.3378208044979575,0.14627970079009106,0.5384615384615384,0.11702127659574468,16.253003556192674,7.161290520454434,24.179299575286596,0.003996003996003996,benefit,2010:+16.87|2014:+15.33|2022:+13.54,3,3,supported,consistent_across_elections,"Historically, non-incumbent candidates who were not Returning councillors and had won at least one of their confirmed earlier elected-office races received more council vote share than comparable candidates with prior races but no wins.",,True,,own_any_all_past_race_victory__non_incumbent_non_returning,,,publish
own_any_all_past_race__non_incumbent_non_returning,own_history,non_incumbent_non_returning_subgroup,all_prior_candidacy_count,greater_than_zero,0,"candidate_regime IN (open_contest, non_incumbent_facing_incumbent) AND returning_councillor == false AND all_prior_candidacy_count > 0","non-incumbent, non-returning candidates with no confirmed earlier race",presence_vs_absence,107,68,3,96,517,111,0.16955104983871028,0.07005419158625485,0.16822429906542055,0.019342359767891684,9.616475136397277,6.259229313894396,13.140035307606396,0.001998001998001998,benefit,2010:+8.12|2014:+9.00|2022:+13.07,3,3,supported,consistent_across_elections,"Historically, non-incumbent candidates who were not Returning councillors and had run in any confirmed earlier elected-office race received more council vote share than comparable candidates with no confirmed earlier race.",,True,,own_any_all_past_race__non_incumbent_non_returning,,0.005021520803443329,publish
own_multiple_all_past_races__non_incumbent_non_returning,own_history,non_incumbent_non_returning_subgroup,all_prior_candidacy_count,at_least_two,2,"candidate_regime IN (open_contest, non_incumbent_facing_incumbent) AND returning_councillor == false AND all_prior_candidacy_count >= 2","non-incumbent, non-returning candidates with zero or one confirmed earlier race",presence_vs_absence,27,23,3,25,597,113,0.21727133683022384,0.08122889998060252,0.2222222222222222,0.03685092127303183,13.075823428940181,5.599587291478745,20.786855897034584,0.001998001998001998,benefit,2010:+10.25|2014:+13.17|2022:+14.99,3,3,supported,consistent_across_elections,"Historically, non-incumbent candidates who were not Returning councillors and had run in at least two confirmed earlier elected-office races received more council vote share than comparable candidates with zero or one earlier race.",,True,,own_multiple_all_past_races__non_incumbent_non_returning,,0.005021520803443329,publish
own_prior_council_run_without_victory_vs_no_history__non_incumbent_non_returning,own_history,non_incumbent_non_returning_subgroup,prior_council_run_without_victory,equals_vs_no_all_history,true,"candidate_regime IN (open_contest, non_incumbent_facing_incumbent) AND returning_councillor == false AND prior_council_run_without_victory == true","non-incumbent, non-returning candidates with no confirmed earlier race",presence_vs_absence,88,60,3,80,517,111,0.1454866701437236,0.07005419158625485,0.11363636363636363,0.019342359767891684,7.051520574597128,3.655554189113777,10.945189915081189,0.001998001998001998,benefit,2010:+5.59|2014:+7.31|2022:+9.42,3,3,supported,consistent_across_elections,"Historically, non-incumbent candidates who were not Returning councillors and had previously run unsuccessfully for council received more council vote share than comparable candidates with no confirmed earlier race.",Publish together with the comparison against candidates with other earlier-race histories.,True,,prior_unsuccessful_council_run_context,own_prior_council_run_without_victory_vs_other_history__non_incumbent_non_returning,0.005021520803443329,publish
own_prior_council_run_without_victory_vs_other_history__non_incumbent_non_returning,own_history,non_incumbent_non_returning_subgroup,prior_council_run_without_victory,equals_vs_other_all_history,true,"candidate_regime IN (open_contest, non_incumbent_facing_incumbent) AND returning_councillor == false AND prior_council_run_without_victory == true","non-incumbent, non-returning candidates with confirmed earlier-race history but no unsuccessful prior council run",presence_vs_absence,88,60,3,80,19,15,0.1454866701437236,0.2810071242154912,0.11363636363636363,0.42105263157894735,-15.198041208688556,-22.00501759508263,-6.677892219289992,0.001998001998001998,harm,2010:-18.42|2014:-10.73|2022:-14.27,3,3,supported,consistent_across_elections,"Historically, non-incumbent candidates who were not Returning councillors and had previously run unsuccessfully for council received less council vote share than comparable candidates with other confirmed earlier-race histories.",Publish together with the comparison against candidates with no confirmed earlier race.,True,,prior_unsuccessful_council_run_context,own_prior_council_run_without_victory_vs_no_history__non_incumbent_non_returning,0.005021520803443329,publish
own_most_recent_all_past_race_margin__non_incumbent_non_returning,own_history,non_incumbent_non_returning_subgroup,most_recent_all_prior_margin,continuous_all_history_only,observed,"candidate_regime IN (open_contest, non_incumbent_facing_incumbent) AND returning_councillor == false AND all_prior_candidacy_count > 0 AND VALUE = most_recent_all_prior_margin","other non-incumbent, non-returning candidates with a confirmed earlier race margin",per_10_percentage_point_increase,107,68,3,96,0,0,0.16955104983871028,,0.16822429906542055,,5.207332440524642,4.240971692294751,6.191914382935114,0.001998001998001998,benefit,2010:+4.90|2014:+5.80|2022:+4.94,3,3,supported,consistent_across_elections,"Historically, among non-incumbent candidates who were not Returning councillors, stronger results in their most recent confirmed earlier elected-office race were associated with more council vote share.",,True,,own_most_recent_all_past_race_margin__non_incumbent_non_returning,,0.005021520803443329,publish
own_most_recent_all_past_race_was_victory__non_incumbent_non_returning,own_history,non_incumbent_non_returning_subgroup,most_recent_all_prior_was_victory,equals_all_history_only,true,"candidate_regime IN (open_contest, non_incumbent_facing_incumbent) AND returning_councillor == false AND all_prior_candidacy_count > 0 AND most_recent_all_prior_was_victory == true","non-incumbent, non-returning candidates whose most recent confirmed earlier race was a loss",presence_vs_absence,10,10,3,10,97,64,0.36763937705975436,0.14912957280561304,0.5,0.13402061855670103,19.184194177797963,9.74969406853531,27.05064241411932,0.005994005994005994,benefit,2010:+18.50|2014:+25.46|2022:+16.20,3,3,supported,consistent_across_elections,"Historically, non-incumbent candidates who were not Returning councillors and had won their most recent confirmed earlier elected-office race received more council vote share than comparable candidates whose most recent earlier race was a loss.",,True,,own_most_recent_all_past_race_was_victory__non_incumbent_non_returning,,0.008391608391608392,publish
own_prior_mpp_race__non_incumbent_non_returning,own_history,non_incumbent_non_returning_subgroup,prior_office_types_contested,contains_office_type,mpp,"candidate_regime IN (open_contest, non_incumbent_facing_incumbent) AND returning_councillor == false AND prior_office_types_contested CONTAINS mpp","non-incumbent, non-returning candidates without a confirmed earlier MPP race",presence_vs_absence,10,10,3,8,614,113,0.19600516811129404,0.08534190179433683,0.2,0.04234527687296417,11.668699071724426,3.7101590677896232,20.404927865068824,0.003996003996003996,benefit,2010:+20.87|2014:+12.77|2022:+7.36,3,3,supported,consistent_across_elections,"Historically, non-incumbent candidates who were not Returning councillors and had previously run in an MPP race received more council vote share than comparable candidates without a confirmed earlier MPP race.",,True,,own_prior_mpp_race__non_incumbent_non_returning,,0.006024096385542168,publish
opponent_strongest_most_recent_all_past_race_margin__incumbent,opponent_history,incumbent,strongest_opponent_most_recent_all_prior_margin,continuous,observed,candidate_regime == incumbent AND strongest_opponent_most_recent_all_prior_margin IS NOT NULL,other candidates in the same Candidate regime with a fully observed opponent field and prior opponent margin,per_10_percentage_point_increase,23,23,3,19,0,0,0.5073962464352727,,0.9130434782608695,,-3.6228394824150016,-5.394540026157495,-1.7909848772530517,0.001998001998001998,harm,2010:-2.62|2014:-4.85|2022:-2.52,3,3,supported,consistent_across_elections,"Historically, Incumbents facing an opponent with a stronger result in that opponent's most recent confirmed earlier elected-office race received less council vote share.",,True,,opponent_strongest_most_recent_all_past_race_margin__incumbent,,0.005021520803443329,publish
