poll_sample_id,poll_reading_id
pallas-2025-06-07,pallas_20250607_mayor_decided_leaning
liaison-2025-07-06,liaison_20250702_06_mayor_with_tory_decided
ipsos-2025-08-29,ipsos_20250829_mayor_all
forum-2025-09-04,forum_20250904_mayor_primary
liaison-2025-10-23,liaison_20251022_23_mayor_decided
liaison-2025-12-21,liaison_20251219_21_mayor_decided
liaison-2026-02-02,liaison_20260131_0202_mayor_five_option
mainstreet-2026-02-22,mainstreet_20260222_mayor_decided
liaison-2026-03-08,liaison_20260306_08_mayor_decided_leaning
pallas-2026-03-08,pallas_20260308_mayor_ford_decided
liaison-2026-04-13,liaison_20260412_13_mayor_decided_leaning
liaison-2026-05-11,liaison_20260510_11_mayor_decided_leaning
mainstreet-2026-06-18,mainstreet_20260618_mayor_decided
liaison-2026-06-30,liaison_20260628_30_mayor_decided
liaison-2026-07-26,liaison_20260724_26_mayor_decided_leaning
forum-2026-07-29,forum_20260729_mayor_alexander
liaison-2026-08-05,liaison_20260804_05_mayor_decided_leaning
liaison-2026-08-16,liaison_20260814_16_mayor_decided_leaning
pallas-2026-08-21,pallas_20260819_21_mayor_decided_leaning
liaison-2026-09-05,liaison_20260904_05_mayor_decided_leaning
