poll_reading_id,response_option_id,response_kind,candidate_id,candidate_name,candidate_observation_status,response_label,option_order,reported_value,share,notes
ipsos_nov2013_scenario1,candidate-rob-ford,candidate,rob-ford,Rob Ford,individually_published,Rob Ford,1,33%,0.33,Document row order only; not asserted to be randomized presentation order.
ipsos_nov2013_scenario1,candidate-karen-stintz,candidate,stintz,Karen Stintz,individually_published,Karen Stintz,2,52%,0.52,Document row order only; not asserted to be randomized presentation order.
ipsos_nov2013_scenario1,candidate-david-soknacki,candidate,soknacki,David Soknacki,individually_published,David Soknacki,3,14%,0.14,Published total is 99% because of source rounding; preserved without adjustment.
ipsos_nov2013_scenario2,candidate-rob-ford,candidate,rob-ford,Rob Ford,individually_published,Rob Ford,1,22%,0.22,Document row order only; not asserted to be randomized presentation order.
ipsos_nov2013_scenario2,candidate-karen-stintz,candidate,stintz,Karen Stintz,individually_published,Karen Stintz,2,30%,0.30,Document row order only; not asserted to be randomized presentation order.
ipsos_nov2013_scenario2,candidate-david-soknacki,candidate,soknacki,David Soknacki,individually_published,David Soknacki,3,7%,0.07,Document row order only; not asserted to be randomized presentation order.
ipsos_nov2013_scenario2,candidate-john-tory,candidate,tory,John Tory,individually_published,John Tory,4,41%,0.41,Document row order only; not asserted to be randomized presentation order.
ipsos_nov2013_scenario3,candidate-rob-ford,candidate,rob-ford,Rob Ford,individually_published,Rob Ford,1,28%,0.28,Document row order only; not asserted to be randomized presentation order.
ipsos_nov2013_scenario3,candidate-karen-stintz,candidate,stintz,Karen Stintz,individually_published,Karen Stintz,2,22%,0.22,Document row order only; not asserted to be randomized presentation order.
ipsos_nov2013_scenario3,candidate-david-soknacki,candidate,soknacki,David Soknacki,individually_published,David Soknacki,3,7%,0.07,Document row order only; not asserted to be randomized presentation order.
ipsos_nov2013_scenario3,candidate-olivia-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,4,44%,0.44,Published total is 101% because of source rounding; preserved without adjustment.
ipsos_nov2013_scenario4,candidate-rob-ford,candidate,rob-ford,Rob Ford,individually_published,Rob Ford,1,20%,0.20,Document row order only; not asserted to be randomized presentation order.
ipsos_nov2013_scenario4,candidate-karen-stintz,candidate,stintz,Karen Stintz,individually_published,Karen Stintz,2,13%,0.13,Document row order only; not asserted to be randomized presentation order.
ipsos_nov2013_scenario4,candidate-david-soknacki,candidate,soknacki,David Soknacki,individually_published,David Soknacki,3,3%,0.03,Document row order only; not asserted to be randomized presentation order.
ipsos_nov2013_scenario4,candidate-john-tory,candidate,tory,John Tory,individually_published,John Tory,4,28%,0.28,Document row order only; not asserted to be randomized presentation order.
ipsos_nov2013_scenario4,candidate-olivia-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,5,36%,0.36,Document row order only; not asserted to be randomized presentation order.
ipsos_sep16_decided,candidate-doug-ford,candidate,doug-ford,Doug Ford,individually_published,Doug Ford,1,28%,0.28,Document row order only.
ipsos_sep16_decided,candidate-olivia-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,2,29%,0.29,Document row order only.
ipsos_sep16_decided,candidate-john-tory,candidate,tory,John Tory,individually_published,John Tory,3,43%,0.43,Document row order only.
ipsos_sep26_decided_leaners,candidate-john-tory,candidate,tory,John Tory,individually_published,John Tory,1,48.1%,0.481,Document row order only.
ipsos_sep26_decided_leaners,candidate-olivia-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,2,26.0%,0.260,Document row order only.
ipsos_sep26_decided_leaners,candidate-doug-ford,candidate,doug-ford,Doug Ford,individually_published,Doug Ford,3,26.0%,0.260,Published total is 100.1% because of source rounding; preserved without adjustment.
ipsos_oct23_decided_leaners,candidate-john-tory,candidate,tory,John Tory,individually_published,John Tory,1,41.7%,0.417,Document row order only.
ipsos_oct23_decided_leaners,candidate-olivia-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,2,24.9%,0.249,Document row order only.
ipsos_oct23_decided_leaners,candidate-doug-ford,candidate,doug-ford,Doug Ford,individually_published,Doug Ford,3,31.2%,0.312,Document row order only.
ipsos_oct23_decided_leaners,some-other-candidate,other,,,,Some other candidate,4,2.1%,0.021,Published total is 99.9% because of source rounding; preserved without adjustment.
nanos_jul_raw,candidate-rob-ford,candidate,rob-ford,Rob Ford,individually_published,Rob Ford,1,19.1,0.191,Stat-sheet row order only; the question says order was rotated.
nanos_jul_raw,candidate-olivia-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,2,27.8,0.278,Stat-sheet row order only; the question says order was rotated.
nanos_jul_raw,candidate-john-tory,candidate,tory,John Tory,individually_published,John Tory,3,34.2,0.342,Stat-sheet row order only; the question says order was rotated.
nanos_jul_raw,candidate-david-soknacki,candidate,soknacki,David Soknacki,individually_published,David Soknacki,4,.9,0.009,Exact stat-sheet token retained.
nanos_jul_raw,candidate-karen-stintz,candidate,stintz,Karen Stintz,individually_published,Karen Stinz,5,3.6,0.036,Source misspells the response label Stinz; canonical candidate name remains Karen Stintz.
