poll_sample_id,election_cycle_id,pollster,sponsor,geography_type,geography_id,fieldwork_start,fieldwork_end,publication_date,publication_at,publication_time_precision,evidence_available_at,collection_mode,recruited_sample_size,extraction_status,notes
ipsos_city_2013_11_08_12_n665,toronto_2014,Ipsos Reid,CTV News / CP24 / Newstalk 1010 Radio,citywide,toronto,2013-11-08,2013-11-12,2013-11-14,,date_only,2013-11-15T00:00:00-05:00,online,665,extracted,The first-party release reports 665 Torontonians interviewed via Ipsos' online panel and gives the fieldwork range and release date. The four ballot scenarios are dependent readings from this one sample.
ipsos_city_2014_09_12_16_n596,toronto_2014,Ipsos Reid,Global News,citywide,toronto,2014-09-12,2014-09-16,2014-09-17,,date_only,2014-09-18T00:00:00-04:00,online,596,extracted,The first-party release describes 596 Torontonians from Ipsos' Canadian online panel and says they were decided voters; undecided voters were screened out.
ipsos_city_2014_09_23_26_n1252,toronto_2014,Ipsos Reid,Global News,citywide,toronto,2014-09-23,2014-09-26,2014-09-27,,date_only,2014-09-28T00:00:00-04:00,online,1252,extracted,"The first-party release reports 1,252 Torontonians from Ipsos' Canadian online panel; 1,105 were decided voters."
ipsos_city_2014_10_21_23_n1201,toronto_2014,Ipsos Reid,Global News,citywide,toronto,2014-10-21,2014-10-23,2014-10-25,,date_only,2014-10-26T00:00:00-04:00,online-and-live-telephone,1201,extracted,"The first-party release reports 1,201 Torontonians: 801 from online panel and non-panel sources, plus 400 live-interviewer telephone interviews including 120 cellphone interviews."
nanos_city_2014_07_02_05_n600,toronto_2014,Nanos Research,Ontario Convenience Stores Association,citywide,toronto,2014-07-02,2014-07-05,2014-07-07,,date_only,2014-07-08T00:00:00-04:00,live-telephone,600,extracted,The report describes a dual-frame random telephone sample of 600 eligible Toronto voters reached by live agents on landlines and cellphones. Nanos' first-party reports index dates the release July 7.
maple_leaf_city_2014_07_28_30_n800,toronto_2014,Maple Leaf Strategies,,citywide,toronto,2014-07-28,2014-07-30,2014-07-31,,date_only,2014-08-01T00:00:00-04:00,live-telephone,800,extracted,The release describes a live telephone survey of 800 Toronto citizens; it prints the fieldwork range and July 31 release date.
nanos_city_2014_09_16_20_n1000,toronto_2014,Nanos Research,CTV News / The Globe and Mail,citywide,toronto,2014-09-16,2014-09-20,2014-09-23,,date_only,2014-09-24T00:00:00-04:00,live-telephone,1000,extracted,The report describes an RDD dual-frame landline and cellphone survey using live agents among very likely municipal voters and says results were checked and weighted by age and gender. The PDF also embeds August comparison data from a separate sample.
viewpoints_city_2023_04_29_05_02_n400,toronto_2023,Viewpoints Research,Broadbent Institute,citywide,toronto,2023-04-29,2023-05-02,2023-05-04,,date_only,2023-05-05T00:00:00-04:00,online,400,extracted,The first-party article says the online survey covered Torontonians aged 18 and over who intended to vote in the mayoral by-election. The PDF says results were weighted by Toronto gender and age. Its header says May 3; the later May 4 first-party article date is retained.
viewpoints_city_2023_06_15_19_n1007,toronto_2023,Viewpoints Research,,citywide,toronto,2023-06-15,2023-06-19,2023-06-23,,date_only,2023-06-24T00:00:00-04:00,not-reported,1007,extracted,The inspected PDF identifies the June 19 wave and says results were weighted by Toronto region gender and age but does not report collection mode sponsor or a turnout screen. The verified first-party release lineage supplies the June 15-19 field range.
dart_city_2018_10_12_15_n669,toronto_2018,DART Insight,Toronto Sun / National Post,citywide,toronto,2018-10-12,2018-10-15,2018-10-19,,date_only,2018-10-20T00:00:00-04:00,online_panel,669,extracted,Factum reports Toronto adults in the National Maru/Blue Online panel weighted to the latest Toronto census data. The surviving factum is source-grade for the published head-to-head outcome but the detailed table is unavailable.
probit_city_2018_08_20_09_05_n1635,toronto_2018,Probit Inc.,,citywide,toronto,2018-08-20,2018-09-05,2018-09-07,,date_only,2018-09-08T00:00:00-04:00,not_reported,1635,extracted,Fieldwork dates and generic overall sample label are printed on the first-party chart. The first-party post establishes the September 7 publication date; because its supporting HTML artifact is not linked in this promotion bundle the evidence cutoff is conservatively the next Toronto calendar day. The charts do not report this study's recruitment or collection mode.
