source_document_id,document_role,publisher_url,retrieval_url,retrieval_status,retrieved_at,media_type,sha256,local_path,byte_size,page_count,sheet_count,text_layer_status,visual_qa_status,access_class,redistribution_status,reuse_terms_url,notes
ipsos_2013-11-12_tables,tables,https://www.ipsos.com/en-ca/rob-fords-road-re-election-long-and-bumpy-prospects-another-victory-look-bleak,https://www.ipsos.com/sites/default/files/publication/2013-11/6317-tb1.pdf,retrieved,2026-08-17T23:51:13Z,application/pdf,75698aa1aafccc1e6649b9e11afcdd89ea729dc9a42a4de3ebe01a6f40c00891,data/source_documents/historical_mayoral/public_wave_2014/ipsos_2013-11-12_tables.pdf,140576,15,,present,passed,public,unknown,,Public first-party table attachment. All 15 physical pages rendered and visually inspected. The attachment contains the four ballot-scenario tables but not fieldwork methodology; the linked first-party release supplies sample metadata. No affirmative redistribution licence was observed.
ipsos_2014-09-16_tables,tables,https://www.ipsos.com/en-ca/doug-and-rob-out-toronto-mayoral-race-john-torys-43-lose-olivia-chow-29-doug-ford-28-trail,https://www.ipsos.com/sites/default/files/publication/2014-09/6599-tb1.pdf,retrieved,2026-08-17T23:51:14Z,application/pdf,889441a1db960020c5178a5f3e90e12c59d036a26b38f6e25a5a7e0aa0ad8e21,data/source_documents/historical_mayoral/public_wave_2014/ipsos_2014-09-16_tables.pdf,106113,2,,present,passed,public,unknown,,Public first-party two-page table attachment. Both pages rendered and visually inspected. The first-party release supplies fieldwork and method metadata. No affirmative redistribution licence was observed.
ipsos_2014-09-26_table_excerpt,tables,https://www.ipsos.com/en-ca/four-weeks-left-until-toronto-mayoral-vote-tory-48-soars-while-chow-26-ford-26-sputter,https://www.ipsos.com/sites/default/files/publication/2014-09/6609-tb1.pdf,retrieved,2026-08-17T23:51:14Z,application/pdf,063ffc0e067eddf87a46843e6e59ec2e52de9709b088cf5050a5e52553421a6d,data/source_documents/historical_mayoral/public_wave_2014/ipsos_2014-09-26_table_excerpt.pdf,60449,1,,present,passed,public,unknown,,Public first-party ballot-table excerpt. Its sole physical page is printed as page 4 of 58; it is not a complete table book. The page rendered cleanly and was visually inspected. The linked first-party release supplies sample metadata. No affirmative redistribution licence was observed.
ipsos_2014-10-23_table_excerpt,tables,https://www.ipsos.com/en-ca/john-tory-42-headed-toronto-mayors-chain-office-over-ford-31-chow-25,https://www.ipsos.com/sites/default/files/publication/2014-10/6648-tb1.pdf,retrieved,2026-08-17T23:51:15Z,application/pdf,255c397a6fa7fd154e453beca66d69dd0935fb54d481674782476dada1827dd1,data/source_documents/historical_mayoral/public_wave_2014/ipsos_2014-10-23_table_excerpt.pdf,24686,4,,present,passed,public,unknown,,Public first-party selected-table attachment. Its four physical pages are printed as pages 1; 4; 6; and 7 of 27; the ballot question pages B and C are absent. All four pages rendered and were visually inspected. The linked first-party release supplies sample metadata. No affirmative redistribution licence was observed.
nanos_2014-07-05_full,tables,https://nanos.co/reports-2/,https://nanos.co/wp-content/uploads/2017/07/2014-541-OCSA-Report-FINAL-w-tabs-R-1.pdf,retrieved,2026-08-17T23:51:15Z,application/pdf,cca2efad67a3478ad600e69cfe36e36d23761c2609641f35cb62334769456a2a,data/source_documents/historical_mayoral/public_wave_2014/nanos_2014-07-05_full.pdf,764920,27,,present,passed,public,unknown,,Public first-party report with methodology; summary charts; and stat sheets. All 27 pages rendered and visually inspected. The document bears a Confidential footer despite public first-party availability; no affirmative redistribution licence was observed and the file remains in the gitignored audit corpus.
maple_leaf_2014-07-30_release,release,http://mapleleafstrategies.com/wp-content/uploads/2014/07/Tory-Leads-Ford-No-Growth-Room.pdf,https://web.archive.org/web/20140808050914id_/http://mapleleafstrategies.com/wp-content/uploads/2014/07/Tory-Leads-Ford-No-Growth-Room.pdf,retrieved,2026-08-17T23:51:18Z,application/pdf,b5eb05990f05b45499b0e2166db9ba29102bd4a1d63b2a93cbcca3a07d5c5920,data/source_documents/historical_mayoral/public_wave_2014/maple_leaf_2014-07-30_release.pdf,766957,2,,present,passed,public,unknown,,Archived replay of the original first-party two-page release. Both pages rendered and were visually inspected. The release includes full published toplines but no demographic crosstabs or reading-level bases. No affirmative redistribution licence was observed.
nanos_2014-09_full,tables,https://nanos.co/wp-content/uploads/2017/07/2014-566B-CTV-Globe-Toronto-Mayoral-Wave-2-report-w-tabs-R.pdf,https://nanos.co/wp-content/uploads/2017/07/2014-566B-CTV-Globe-Toronto-Mayoral-Wave-2-report-w-tabs-R.pdf,retrieved,2026-08-17T16:08:32Z,application/pdf,a62f7fbfed51c4e2b07f2aa63d63d87ba246c997ae62d33ad7ae805869fcd1c4,data/source_documents/pilot_historical/nanos_2014-09_full.pdf,667116,29,,present,passed,public,unknown,,Complete first-party report and stat-sheet PDF. All 29 physical pages were previously rendered and visually inspected for the pilot. No affirmative redistribution licence was observed.
nanos_reports_archive_2021-07-30,article,https://nanos.co/reports-2/,https://web.archive.org/web/20210730210750id_/https://nanos.co/reports-2/,retrieved,2026-08-17T22:56:10Z,text/html,5f16a5a93a1707bfc66c9e33af04806ec6897ccb505ef978eb075f7c346e36ea,data/source_documents/pilot_historical/nanos_reports_archive_2021-07-30.html,767927,,,present,not_applicable,public,unknown,,Archived first-party reports index establishes the September 23 publication date. No affirmative redistribution licence was observed.
viewpoints_2023-05-02_full,tables,https://www.viewpoints.ca/wp-content/uploads/2023/05/Toronto-Mayoral-By-Election-Marginals-Report1.pdf,https://www.viewpoints.ca/wp-content/uploads/2023/05/Toronto-Mayoral-By-Election-Marginals-Report1.pdf,retrieved,2026-08-17T20:07:55Z,application/pdf,5ef807c7fe31194b21b6f1400883052d9deab082fd92e4ffae7a01706e4fae6c,data/source_documents/pilot_historical/viewpoints_2023-05-02_full.pdf,82259,1,,present,passed,public,unknown,,Complete first-party weighted-marginals PDF. The single page was previously rendered and visually inspected for the pilot. No affirmative redistribution licence was observed.
viewpoints_2023-05-02_article,article,https://www.viewpoints.ca/2023/05/chow-leads-mayoral-race-in-new-viewpoints-poll/,https://www.viewpoints.ca/2023/05/chow-leads-mayoral-race-in-new-viewpoints-poll/,retrieved,2026-08-17T20:09:27Z,text/html,d1d48fdb5c7230923eb21735ba68d75eea57fa60bc8fd1346f703cd333d13312,data/source_documents/pilot_historical/viewpoints_2023-05-02_article.html,239947,,,present,not_applicable,public,unknown,,First-party article establishes the May 4 publication date and supplies fieldwork method population turnout-intent screen and sponsor. No affirmative redistribution licence was observed.
