legacy_poll_id,election_cycle_id,legacy_sample_proxy_key,poll_sample_id,poll_reading_id,disposition,notes
toronto_2014-2010-10-25-6a933a5f,toronto_2014,toronto_2014|2010_election|2010-10-25|missing,,,non_poll,2010 election result incorrectly stored as a 2014 poll.
toronto_2014-2013-01-25-7682463f,toronto_2014,toronto_2014|forum_research|2013-01-25|missing,forum_city_2013_01_25_n1099,forum_2013_jan25_release__r3,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-01-25-a556e530,toronto_2014,toronto_2014|forum_research|2013-01-25|missing,forum_city_2013_01_25_n1099,forum_2013_jan25_release__r6,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-01-25-b9d08ec1,toronto_2014,toronto_2014|forum_research|2013-01-25|missing,forum_city_2013_01_25_n1099,forum_2013_jan25_release__r7,mapped,Mapped to the Ford / Carroll head-to-head; the legacy row kept only Rob Ford (0.45) and folded Shelley Carroll and Don't Know into a single 0.55 residual. The first-party extraction supersedes that combined vector.
toronto_2014-2013-01-25-d2df21f9,toronto_2014,toronto_2014|forum_research|2013-01-25|missing,forum_city_2013_01_25_n1099,forum_2013_jan25_release__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-03-21-1d85c80b,toronto_2014,toronto_2014|forum_research|2013-03-21|missing,forum_city_2013_03_19_n1045,forum_2013_mar21_star__r2,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-03-21-47574b99,toronto_2014,toronto_2014|forum_research|2013-03-21|missing,forum_city_2013_03_19_n1045,forum_2013_mar21_star__r3,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-03-21-fa96205a,toronto_2014,toronto_2014|forum_research|2013-03-21|missing,forum_city_2013_03_19_n1045,forum_2013_mar21_star__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-05-13-586501f0,toronto_2014,toronto_2014|forum_research|2013-05-13|missing,forum_city_2013_05_10_n974,forum_2013_may13_star__r4,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-05-13-9b716dba,toronto_2014,toronto_2014|forum_research|2013-05-13|missing,forum_city_2013_05_10_n974,forum_2013_may13_star__r3,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-05-13-d3c182cc,toronto_2014,toronto_2014|forum_research|2013-05-13|missing,forum_city_2013_05_10_n974,forum_2013_may13_star__r2,mapped,Mapped to a visually verified first-party document extraction.
