poll_reading_id,poll_sample_id,source_document_id,source_locator,contest_type,contest_id,question_order_status,question_order,document_display_order,question_text_status,question_text,scenario_label,population,turnout_screen,turnout_screen_text,denominator_type,denominator_text,unweighted_base_status,unweighted_base,weighted_base_status,weighted_base,reported_base_status,reported_base,tested_choice_set_status,response_coverage,reported_share_unit,reported_share_precision,notes,reading_purpose
forum_w20_20260622_23_council,forum_w20_20260622_23,forum_w20_20260622_23_release,"page 2, council vote-intention table",council,toronto-ward-20-2026,not_reported,,,reported,"If a municipal by-election for Toronto City Council were held today in Scarborough-Southwest, who are you most likely to vote for?",published field including Glenn De Baeremaeker,Scarborough-Southwest residents age 18+,not_reported,,custom,[Decided/ Leaning],reported,201,reported,225,not_reported,,unknown,complete,percent,0,"Council and mayoral readings share one parent sample; table shares preserved without rounding adjustment. Other is a poll response, not an Unmeasured Candidate Tail estimate. Questionnaire order and routing are not reported; no question_order is inferred from page or table placement. Response option_order preserves published document row order only, not IVR presentation order. Release prose separately reports Undecided at 28%; the value is outside the published decided/leaning table and is retained as a note rather than added as a response row.",general_vote_intention
forum_w20_20260622_23_mayor,forum_w20_20260622_23,forum_w20_20260622_23_release,"page 3, ward-level mayoral vote-intention table",mayoral,toronto-mayor-2026,not_reported,,,reported,"If a municipal election were held today, who would you vote for as mayor?",published mayoral field,Scarborough-Southwest residents age 18+,not_reported,,custom,[Decided/ Leaning],reported,265,reported,275,not_reported,,unknown,complete,percent,0,"Dependent ward-level mayoral reading from the same sample as the Council reading. Displayed shares sum to 101% because of source rounding; preserved without adjustment. Questionnaire order and routing are not reported; no question_order is inferred from page or table placement. Response option_order preserves published document row order only, not IVR presentation order. Release prose separately reports Undecided at 11%; the value is outside the published decided/leaning table and is retained as a note rather than added as a response row.",general_vote_intention
forum_w05_20260622_23_council,forum_w05_20260622_23,forum_w05_20260622_23_release,"page 2, council vote-intention table",council,toronto-ward-5-2026,not_reported,,,reported,"If a municipal by-election for Toronto City Council were held today in York South Weston, who are you most likely to vote for?",published field,York South-Weston residents age 18+,not_reported,,custom,[Decided/ Leaning],reported,229,reported,223,not_reported,,unknown,complete,percent,0,"Council and mayoral readings share one parent sample; published spelling and row order retained. Displayed shares sum to 99% because of source rounding; Other is not a candidate-tail estimate. Questionnaire order and routing are not reported; no question_order is inferred from page or table placement. Response option_order preserves published document row order only, not IVR presentation order. Release prose separately reports Undecided at 26%; the value is outside the published decided/leaning table and is retained as a note rather than added as a response row.",general_vote_intention
forum_w05_20260622_23_mayor,forum_w05_20260622_23,forum_w05_20260622_23_release,"page 3, ward-level mayoral vote-intention table",mayoral,toronto-mayor-2026,not_reported,,,reported,"If a municipal election were held today, who would you vote for as mayor?",published mayoral field,York South-Weston residents age 18+,not_reported,,custom,[Decided/ Leaning],reported,270,reported,255,not_reported,,unknown,complete,percent,0,"Dependent ward-level mayoral reading from the same sample as the Council reading. Other is a poll response, not a candidate-tail estimate. Questionnaire order and routing are not reported; no question_order is inferred from page or table placement. Response option_order preserves published document row order only, not IVR presentation order. Release prose separately reports Undecided at 15%; the value is outside the published decided/leaning table and is retained as a note rather than added as a response row.",general_vote_intention
forum_w13_20260622_23_council,forum_w13_20260622_23,forum_w13_20260622_23_release,"page 2, council vote-intention table",council,toronto-ward-13-2026,not_reported,,,reported,"If a municipal by-election for Toronto City Council were held today in Toronto Centre, who are you most likely to vote for?",published field,Toronto Centre residents age 18+,not_reported,,custom,[Decided/ Leaning],reported,215,reported,195,not_reported,,unknown,complete,percent,0,"Council, hypothetical, and mayoral readings share one parent sample. Other is a poll response, not a candidate-tail estimate. Questionnaire order and routing are not reported; no question_order is inferred from page or table placement. Response option_order preserves published document row order only, not IVR presentation order. Release prose separately reports Undecided at 45%; the value is outside the published decided/leaning table and is retained as a note rather than added as a response row.",general_vote_intention
forum_w13_20260622_23_wong_tam,forum_w13_20260622_23,forum_w13_20260622_23_release,"page 1, release prose",council,toronto-ward-13-2026,not_reported,,,not_reported,,hypothetical Kristyn Wong-Tam versus Chris Moise,Toronto Centre residents age 18+,not_reported,,not_reported,,not_reported,,not_reported,,not_reported,,unknown,unknown,percent,0,"Published outcome prose: If Kristyn Wong-Tam, the current Member of Provincial Parliament for Toronto Centre, were to resign her seat, 67% would vote for Kristyn Wong-Tam, and 33% would vote for Chris Moise. No table, denominator, undecided share, or reading base is published; this remains dependent on the parent sample. Questionnaire order and routing are not reported; no question_order is inferred from page or table placement. No response-option order is inferred from release prose.",general_vote_intention
forum_w13_20260622_23_mayor,forum_w13_20260622_23,forum_w13_20260622_23_release,"page 3, ward-level mayoral vote-intention table",mayoral,toronto-mayor-2026,not_reported,,,reported,"If a municipal election were held today, who would you vote for as mayor?",published mayoral field,Toronto Centre residents age 18+,not_reported,,custom,[Decided/ Leaning],reported,324,reported,319,not_reported,,unknown,complete,percent,0,"Dependent ward-level mayoral reading from the same sample as the Council readings. The table reports Other 11% while the prose reports 10% undecided; both source values are preserved separately. Questionnaire order and routing are not reported; no question_order is inferred from page or table placement. Response option_order preserves published document row order only, not IVR presentation order. Release prose separately reports Undecided at 10%; the value is outside the published decided/leaning table and is retained as a note rather than added as a response row.",general_vote_intention
forum_w19_20260622_23_council,forum_w19_20260622_23,forum_w19_20260622_23_release,"page 3, hypothetical council vote-intention table",council,toronto-ward-19-2026,not_reported,,,reported,"If a municipal by-election for Toronto City Council were held today in Beaches-East York, who are you most likely to vote for?",hypothetical field including Nate Erskine-Smith,Beaches-East York residents age 18+,not_reported,,custom,[Decided/ Leaning],reported,277,reported,267,not_reported,,unknown,complete,percent,0,"Council and mayoral readings share one parent sample; field includes a hypothetical Erskine-Smith candidacy. Displayed shares sum to 99% because of source rounding; Other is not a candidate-tail estimate. Questionnaire order and routing are not reported; no question_order is inferred from page or table placement. Response option_order preserves published document row order only, not IVR presentation order. Release prose separately reports Undecided at 27%; the value is outside the published decided/leaning table and is retained as a note rather than added as a response row.",general_vote_intention
forum_w19_20260622_23_mayor,forum_w19_20260622_23,forum_w19_20260622_23_release,"page 3, ward-level mayoral vote-intention table",mayoral,toronto-mayor-2026,not_reported,,,reported,"If a municipal election were held today, who would you vote for as mayor?",published mayoral field,Beaches-East York residents age 18+,not_reported,,custom,[Decided/ Leaning],reported,333,reported,349,not_reported,,unknown,complete,percent,0,"Dependent ward-level mayoral reading from the same sample as the Council reading. Other is a poll response, not a candidate-tail estimate. Questionnaire order and routing are not reported; no question_order is inferred from page or table placement. Response option_order preserves published document row order only, not IVR presentation order. Release prose separately reports Undecided at 5%; the value is outside the published decided/leaning table and is retained as a note rather than added as a response row.",general_vote_intention
forum_w19_20260811_12_council,forum_w19_20260811_12,forum_w19_20260811_12_release,"page 2, hypothetical council vote-intention table",council,toronto-ward-19-2026,not_reported,,,reported,"If a municipal by-election for Toronto City Council were held today in Beaches-East York, who are you most likely to vote for? + Even though you may not have made up your mind, who are you leaning towards at this time?",hypothetical field including Nate Erskine-Smith,Beaches-East York residents age 18+,not_reported,,custom,[Decided/ Leaning],reported,292,reported,316,not_reported,,unknown,complete,percent,0,"Separate parent sample from June; same-firm Ward 19 replication and explicitly hypothetical field. Other is a poll response, not a candidate-tail estimate. Questionnaire order and routing are not reported; no question_order is inferred from page or table placement. Response option_order preserves published document row order only, not IVR presentation order. Release prose separately reports Undecided at 23%; the value is outside the published decided/leaning table and is retained as a note rather than added as a response row.",general_vote_intention
forum_w11_20260812_council_current,forum_w11_20260812,forum_w11_20260812_release,"page 3, then-current council vote-intention table",council,toronto-ward-11-2026,not_reported,,,reported,"If a municipal by-election for Toronto City Council were held today in University–Rosedale, who are you most likely to vote for? + Even though you may not have made up your mind, who are you leaning towards at this time?",then-current field without Mike Layton,University-Rosedale residents age 18+,not_reported,,custom,[Decided/ Leaning],reported,312,reported,286,not_reported,,unknown,complete,percent,0,"All three Ward 11 readings are dependent readings from one parent sample; no undecided percentage is explicitly published. Other is a poll response, not a candidate-tail estimate. Questionnaire order and routing are not reported; no question_order is inferred from page or table placement. Response option_order preserves published document row order only, not IVR presentation order.",general_vote_intention
forum_w11_20260812_council_layton,forum_w11_20260812,forum_w11_20260812_release,"page 4, hypothetical Mike Layton council vote-intention table",council,toronto-ward-11-2026,not_reported,,,reported,"Now, we'd like you to consider a different scenario. If former Councillor Mike Layton decided to return and run for the seat, who would you be most likely to vote for? + Even though you may not have made up your mind, who are you leaning towards at this time?",hypothetical field including Mike Layton,University-Rosedale residents age 18+,not_reported,,not_reported,,reported,385,reported,386,not_reported,,unknown,complete,percent,0,"Dependent candidate-field scenario from the same sample as the current-field and mayoral readings. Other is a poll response, not a candidate-tail estimate. Questionnaire order and routing are not reported; no question_order is inferred from page or table placement. Response option_order preserves published document row order only, not IVR presentation order. Page 4 prints the leaning follow-up and the unweighted and weighted bases, but it does not print the [Decided/ Leaning] denominator label used on page 3; denominator remains not_reported.",general_vote_intention
forum_w11_20260812_mayor,forum_w11_20260812,forum_w11_20260812_release,"page 4, ward-level mayoral vote-intention table",mayoral,toronto-mayor-2026,not_reported,,,reported,"If an election for Mayor of Toronto were held today, which candidate would you be most likely to support? + Even though you may not have made up your mind, who are you leaning towards at this time?",published mayoral field,University-Rosedale residents age 18+,not_reported,,not_reported,,reported,414,reported,353,not_reported,,unknown,complete,percent,0,"Dependent ward-level mayoral reading from the same sample as both Council scenarios. Other is a poll response, not a candidate-tail estimate. Questionnaire order and routing are not reported; no question_order is inferred from page or table placement. Response option_order preserves published document row order only, not IVR presentation order. Page 4 prints the leaning follow-up and the unweighted and weighted bases, but it does not print the [Decided/ Leaning] denominator label used on page 3; denominator remains not_reported.",general_vote_intention
