poll_reading_id,response_option_id,response_kind,candidate_id,candidate_name,candidate_observation_status,response_label,option_order,reported_value,share,notes
forum_w20_20260622_23_council,candidate-glenn-de-baeremaeker,candidate,glenn-de-baeremaeker,Glenn De Baeremaeker,individually_published,Glenn De Baeremaeker,1,28,0.28,Council and mayoral readings share one parent sample; table shares preserved without rounding adjustment. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w20_20260622_23_council,candidate-parthi-kandavel,candidate,parthi-kandavel,Parthi Kandavel,individually_published,Parthi Kandavel,2,37,0.37,Council and mayoral readings share one parent sample; table shares preserved without rounding adjustment. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w20_20260622_23_council,candidate-kevin-rupasinghe,candidate,kevin-rupasinghe,Kevin Rupasinghe,individually_published,Kevin Rupasinghe,3,25,0.25,Council and mayoral readings share one parent sample; table shares preserved without rounding adjustment. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w20_20260622_23_council,other,other,,,,Other,4,10,0.10,"Other is a poll response, not an Unmeasured Candidate Tail estimate. option_order is published document row order only; it is not asserted to be questionnaire presentation order."
forum_w20_20260622_23_mayor,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,1,43,0.43,Dependent ward-level mayoral reading from the same sample as the Council reading. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w20_20260622_23_mayor,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Brad Bradford,2,31,0.31,Dependent ward-level mayoral reading from the same sample as the Council reading. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w20_20260622_23_mayor,other,other,,,,Other,3,27,0.27,Displayed shares sum to 101% because of source rounding; preserved without adjustment. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w05_20260622_23_council,candidate-chiara-padovani,candidate,chiara-padovani,Chiara Padovani,individually_published,Chiara Padovani,1,20,0.20,Council and mayoral readings share one parent sample; published spelling and row order retained. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w05_20260622_23_council,candidate-david-digiorgio,candidate,david-digiorgio,David DiGiorgio,individually_published,David DiGiorgio,2,24,0.24,Council and mayoral readings share one parent sample; published spelling and row order retained. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w05_20260622_23_council,candidate-frances-nunziata,candidate,frances-nunziata,Frances Nunziata,individually_published,Frances Nunziata,3,42,0.42,Council and mayoral readings share one parent sample; published spelling and row order retained. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w05_20260622_23_council,other,other,,,,Other,4,13,0.13,Displayed shares sum to 99% because of source rounding; Other is not a candidate-tail estimate. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w05_20260622_23_mayor,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,1,29,0.29,Dependent ward-level mayoral reading from the same sample as the Council reading. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w05_20260622_23_mayor,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Brad Bradford,2,58,0.58,Dependent ward-level mayoral reading from the same sample as the Council reading. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w05_20260622_23_mayor,other,other,,,,Other,3,13,0.13,"Other is a poll response, not a candidate-tail estimate. option_order is published document row order only; it is not asserted to be questionnaire presentation order."
forum_w13_20260622_23_council,candidate-chris-moise,candidate,chris-moise,Chris Moise,individually_published,Chris Moise,1,35,0.35,"Council, hypothetical, and mayoral readings share one parent sample. option_order is published document row order only; it is not asserted to be questionnaire presentation order."
forum_w13_20260622_23_council,candidate-curran-stikuts,candidate,curran-stikuts,Curran Stikuts,individually_published,Curran Stikuts,2,6,0.06,"Council, hypothetical, and mayoral readings share one parent sample. option_order is published document row order only; it is not asserted to be questionnaire presentation order."
forum_w13_20260622_23_council,candidate-daniel-tate,candidate,daniel-tate,Daniel Tate,individually_published,Daniel Tate,3,19,0.19,"Council, hypothetical, and mayoral readings share one parent sample. option_order is published document row order only; it is not asserted to be questionnaire presentation order."
forum_w13_20260622_23_council,other,other,,,,Other,4,40,0.40,"Other is a poll response, not a candidate-tail estimate. option_order is published document row order only; it is not asserted to be questionnaire presentation order."
forum_w13_20260622_23_wong_tam,candidate-kristyn-wong-tam,candidate,kristyn-wong-tam,Kristyn Wong-Tam,individually_published,Kristyn Wong-Tam,,67%,0.67,"No table, denominator, undecided share, or reading base is published; this remains dependent on the parent sample. option_order is blank because release prose does not establish response-option order."
forum_w13_20260622_23_wong_tam,candidate-chris-moise,candidate,chris-moise,Chris Moise,individually_published,Chris Moise,,33%,0.33,"No table, denominator, undecided share, or reading base is published; this remains dependent on the parent sample. option_order is blank because release prose does not establish response-option order."
forum_w13_20260622_23_mayor,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,1,55,0.55,Dependent ward-level mayoral reading from the same sample as the Council readings. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w13_20260622_23_mayor,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Brad Bradford,2,34,0.34,Dependent ward-level mayoral reading from the same sample as the Council readings. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w13_20260622_23_mayor,other,other,,,,Other,3,11,0.11,The table reports Other 11% while the prose reports 10% undecided; both source values are preserved separately. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w19_20260622_23_council,candidate-james-dann,candidate,james-dann,James Dann,individually_published,James Dann,1,9,0.09,Council and mayoral readings share one parent sample; field includes a hypothetical Erskine-Smith candidacy. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w19_20260622_23_council,candidate-nate-erskine-smith,candidate,nate-erskine-smith,Nate Erskine-Smith,individually_published,Nate Erskine-Smith,2,69,0.69,Council and mayoral readings share one parent sample; field includes a hypothetical Erskine-Smith candidacy. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
