poll_sample_id,election_cycle_id,pollster,sponsor,geography_type,geography_id,fieldwork_start,fieldwork_end,publication_date,publication_at,publication_time_precision,evidence_available_at,collection_mode,recruited_sample_size,extraction_status,notes
pallas-2025-06-07,toronto-2026,Pallas Data,,citywide,toronto,2025-06-07,2025-06-07,2025-06-12,,date_only,2025-06-13T00:00:00-04:00,ivr,611,extracted,"Methodology reports 611 Toronto adults aged 18+ eligible to vote municipally, interviewed by automated IVR on landlines and cellphones. Publication date is the first-party release date."
liaison-2025-07-06,toronto-2026,Liaison Strategies,National Ethnic Press and Media Council of Canada / Toronto Star,citywide,toronto,2025-07-02,2025-07-06,2025-07-14,,date_only,2025-07-15T00:00:00-04:00,ivr,1000,extracted,"Report methodology identifies a random sample of 1,000 Torontonians surveyed by IVR; publication date is printed in the report."
ipsos-2025-08-29,toronto-2026,Ipsos,Toronto Star,citywide,toronto,2025-08-25,2025-08-29,2025-09-20,,date_only,2025-09-21T00:00:00-04:00,online,1001,extracted,"Methodology reports 1,001 Toronto residents aged 18+ interviewed online. Conservative publication date uses the first-party page date, one day after the PDF's September 19 report date."
forum-2025-09-04,toronto-2026,Forum Research,,citywide,toronto,2025-09-03,2025-09-04,2025-09-05,,date_only,2025-09-06T00:00:00-04:00,ivr,,extracted,"The methodology reports n=1,000 randomly selected Toronto residents aged 18+ by IVR, while each of the three head-to-head tables explicitly prints TOTAL (u/w)=1001 and TOTAL (w/t)=1001. recruited_sample_size is left blank rather than choosing between conflicting source values. The four ballot readings share one respondent sample and are dependent evidence."
canadapulse-2025-10-06,toronto-2026,Canada Pulse Insights,Rogers CityNews,citywide,toronto,2025-09-30,2025-10-06,2025-10-21,,date_only,2025-10-22T00:00:00-04:00,online,406,extracted,First-party media release reports an online Sago survey for Rogers CityNews with Toronto n=406 and release date October 21. This conflicts with the legacy row's IVR mode and earlier publication date.
liaison-2025-10-23,toronto-2026,Liaison Strategies,National Ethnic Press and Media Council of Canada,citywide,toronto,2025-10-22,2025-10-23,2025-10-27,,date_only,2025-10-28T00:00:00-04:00,ivr,1000,extracted,"Ten-city report identifies IVR fieldwork; the Toronto table reports an unweighted and weighted total of 1,000. Publication date is printed in the report."
liaison-2025-12-21,toronto-2026,Liaison Strategies,National Ethnic Press and Media Council of Canada / Toronto Star,citywide,toronto,2025-12-19,2025-12-21,2025-12-23,,date_only,2025-12-24T00:00:00-05:00,ivr,1000,extracted,"Report methodology identifies a random sample of 1,000 Torontonians surveyed by IVR; publication date is printed in the report."
abacus-2026-01-27,toronto-2026,Abacus Data,,citywide,toronto,2026-01-22,2026-01-27,2026-03-04,,date_only,2026-03-05T00:00:00-05:00,not-reported,1001,blocked,"First-party article is dated March 4 and access-gated. Its publicly exposed cover graphic reports Base: All (n=1,001). Collection mode is unavailable in the accessible material and is not inferred. Extraction is blocked because no public detailed artifact or complete result table was recovered; no gated methodology was claimed or bypassed."
liaison-2026-02-02,toronto-2026,Liaison Strategies,,citywide,toronto,2026-01-31,2026-02-02,2026-02-12,,date_only,2026-02-13T00:00:00-05:00,ivr,1000,extracted,"First-party release reports 1,000 Torontonians reached by IVR/RDD on landline and cellular networks; publication uses the release-page date."
mainstreet-2026-02-22,toronto-2026,Mainstreet Research,,citywide,toronto,2026-02-20,2026-02-22,2026-02-24,,date_only,2026-02-25T00:00:00-05:00,smart-ivr,802,extracted,"Report methodology gives 802 Toronto adults aged 18+ interviewed by Smart IVR on landlines and cellphones. Publication uses the first-party page date, not fieldwork end. Public and full editions are one sample."
