poll_id,firm,date_conducted,date_published,sample_size,methodology,field_tested,alexander,bailao,bradford,chow,furey,mendicino,michael-ford,other,tory,would_not_vote,notes
liaison-2026-09-05,Liaison Strategies,2026-09-05,2026-09-09,1000,ivr,"alexander,bradford,chow,other",0.10,,0.39,0.50,,,,0.02,,,Decided and leaning voters only; published shares total 101% due to source rounding.
pallas-2026-08-21,Pallas Data,2026-08-21,2026-08-25,808,ivr,"alexander,bradford,chow,other",0.081,,0.393,0.501,,,,0.026,,,Decided And Leaning Voters; published shares total 100.1% due to source rounding.
liaison-2026-08-16,Liaison Strategies,2026-08-16,2026-08-20,1000,ivr,"alexander,bradford,chow,other",0.11,,0.38,0.49,,,,0.03,,,Decided and leaning voters; published shares total 101% due to source rounding.
liaison-2026-08-05,Liaison Strategies,2026-08-05,2026-08-07,1000,ivr,"alexander,bradford,chow,other",0.10,,0.40,0.47,,,,0.03,,,Decided and Leaning voters.
forum-2026-07-29,Forum Research,2026-07-29,2026-07-30,1011,ivr,"alexander,bradford,chow,other",0.11,,0.32,0.47,,,,0.10,,,Chris Alexander added; Decided/ Leaning.
liaison-2026-07-26,Liaison Strategies,2026-07-26,2026-07-29,1000,ivr,"bradford,chow,other",,,0.41,0.49,,,,0.10,,,Decided and Leaning voters.
liaison-2026-06-30,Liaison Strategies,2026-06-30,2026-07-07,1000,ivr,"bradford,chow,other",,,0.40,0.49,,,,0.10,,,Decided voters.
mainstreet-2026-06-18,Mainstreet Research,2026-06-18,2026-06-23,1157,sms-online-and-ivr,"bradford,chow,other",,,0.378,0.436,,,,0.186,,,Only undecideds removed.
liaison-2026-05-11,Liaison Strategies,2026-05-11,2026-05-14,1000,ivr,"bradford,chow,other",,,0.37,0.50,,,,0.13,,,Decided and Leaning.
liaison-2026-04-13,Liaison Strategies,2026-04-13,2026-04-17,1000,ivr,"bradford,chow,furey,other",,,0.35,0.46,0.11,,,0.08,,,Decided and Leaning.
pallas-2026-03-08,Pallas Data,2026-03-08,2026-03-10,735,ivr,"bradford,chow,michael-ford,other",,,0.263,0.443,,,0.214,0.079,,,"Michael Ford added, decided voters; Decided Voters Only."
liaison-2026-03-08,Liaison Strategies,2026-03-08,2026-03-10,1000,ivr,"bradford,chow,furey,michael-ford,other",,,0.26,0.44,0.08,,0.16,0.06,,,Decided and Leaning.
mainstreet-2026-02-22,Mainstreet Research,2026-02-22,2026-02-24,802,smart-ivr,"bradford,chow,furey,tory",,,0.167,0.431,0.065,,,,0.338,,Decided voters; published shares total 100.1% due to source rounding.
liaison-2026-02-02,Liaison Strategies,2026-02-02,2026-02-12,1000,ivr,"bradford,chow,furey,other,tory",,,0.18,0.40,0.05,,,0.04,0.33,,
liaison-2025-12-21,Liaison Strategies,2025-12-21,2025-12-23,1000,ivr,"bradford,chow,furey,other,tory",,,0.16,0.39,0.06,,,0.04,0.35,,Decided Only.
liaison-2025-10-23,Liaison Strategies,2025-10-23,2025-10-27,1000,ivr,"bradford,chow,furey,other,tory",,,0.12,0.42,0.07,,,0.03,0.36,,Decided Only.
ipsos-2025-08-29,Ipsos,2025-08-29,2025-09-20,1001,online,"chow,other,tory,would_not_vote",,,,0.33,,,,0.31,0.25,0.11,Published field; All respondents.
forum-2025-09-04,Forum Research,2025-09-04,2025-09-05,,ivr,"bailao,bradford,chow,other,tory",,0.08,0.13,0.36,,,,0.13,0.30,,Published multi-candidate field; Decided/ Leaning.
liaison-2025-07-06,Liaison Strategies,2025-07-06,2025-07-14,1000,ivr,"bailao,bradford,chow,furey,mendicino,other,tory",,0.07,0.08,0.39,0.06,0.03,,0.02,0.35,,Including John Tory; Decided Only.
pallas-2025-06-07,Pallas Data,2025-06-07,2025-06-12,611,ivr,"bradford,chow,mendicino,other,tory",,,0.142,0.371,,0.105,,0.146,0.236,,Decided and leaning voters.
