source_document_id,document_role,publisher_url,retrieval_url,retrieval_status,retrieved_at,media_type,sha256,local_path,byte_size,page_count,sheet_count,text_layer_status,visual_qa_status,access_class,redistribution_status,reuse_terms_url,notes
pallas_2025-06-07_full,tables,https://pallas-data.ca/2025/06/12/pallas-toronto-poll-chow-leads-with-a-year-to-go/,https://pallas-data.ca/wp-content/uploads/2025/06/PallasData-Toronto-11June2025-compressed-1.pdf,retrieved,2026-08-17T16:06:19Z,application/pdf,98fe3381c205bdf669eb288df0fdea01e2431c5eb38bb3c53d76567729a2715b,data/source_documents/current_mayoral/pallas_2025-06-07_full.pdf,2842506,19,,present,passed,public,unknown,,Public first-party artifact; all pages rendered and visually inspected. No affirmative redistribution licence was observed; retained in the gitignored internal audit corpus.
liaison_2025-07-06_full,tables,https://press.liaisonstrategies.ca/toronto-poll-chow-39-tory-35/,https://press.liaisonstrategies.ca/content/files/2025/07/LS-Toronto-2025---July.pdf,retrieved,2026-08-17T16:06:47Z,application/pdf,4d02e180be24d3d44dc5e5eb5ab5d94a82dc0a44105baa4b30a48d168d80ee02,data/source_documents/current_mayoral/liaison_2025-07-06_full.pdf,13819814,29,,partial,passed,public,unknown,,Public first-party artifact; all pages rendered and visually inspected. PDF has a partial text layer. No affirmative redistribution licence was observed; retained in the gitignored internal audit corpus.
ipsos_2025-08-29_full,tables,https://www.ipsos.com/en-ca/toronto-city-poll-what-residents-think-about,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-09/Toronto%20Star%20Ipsos%20Poll_Full_Report_Final%20Sept%2019%202025.pdf,retrieved,2026-08-17T16:06:19Z,application/pdf,fe94c43b5ecbcc0a97ba84851fbecae6fd1acf3cfd52cdbfce0e121694cce95a,data/source_documents/current_mayoral/ipsos_2025-08-29_full.pdf,2258639,29,,present,passed,public,unknown,,Public first-party artifact; all pages rendered and visually inspected. No affirmative redistribution licence was observed; retained in the gitignored internal audit corpus.
forum_2025-09-04_full,tables,https://www.forumresearch.com/news/2025/09/one-year-out-chow-leads-in-toronto-mayoral-race,https://www.forumresearch.com/news/attachments/b00d29f6-3522-489f-adea-0569e29bc89e.pdf,retrieved,2026-08-17T16:06:19Z,application/pdf,7b66a67ee269c9f2e509ef2defd6928710dc57b7529d30cbf0b27b8e9e51ac3a,data/source_documents/current_mayoral/forum_2025-09-04_full.pdf,549535,7,,present,passed,public,unknown,,Public first-party artifact; all pages rendered and visually inspected. No affirmative redistribution licence was observed; retained in the gitignored internal audit corpus.
canadapulse_2025-10-06_release,release,https://canadapulseinsights.com/post/toronto-civic-politics-2025,https://cdn.prod.website-files.com/68e8fca1c431166c54a9df49/68f70af58cfacc34d2bdd79e_Toronto%20Civic%20Politics%20Media%20Release%20F%20(1).docx,retrieved,2026-08-17T16:06:28Z,application/vnd.openxmlformats-officedocument.wordprocessingml.document,9e9c3aff692dc7894932445ed8f6d290d6e19654d9c68b700580bb3f650a0d7d,data/source_documents/current_mayoral/canadapulse_2025-10-06_release.docx,129997,,,not_applicable,passed,public,unknown,,Public first-party media release. OOXML integrity and extracted release content were checked; its two rendered pages were visually inspected. No affirmative redistribution licence was observed.
canadapulse_2025-10-06_tables,tables,https://canadapulseinsights.com/post/toronto-civic-politics-2025,https://cdn.prod.website-files.com/68e8fca1c431166c54a9df49/68f6c7bda2115e7a159ff327_CityBeat%20Toronto%20Civic%202025%20F.xlsx,retrieved,2026-08-17T16:06:19Z,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,d94dfcc3043ed7932d1a103af0294e0ec8ac20cc3ed3296f79b929a97a40376f,data/source_documents/current_mayoral/canadapulse_2025-10-06_tables.xlsx,27026,,1,not_applicable,passed,public,unknown,,"Public first-party workbook. OOXML integrity passed; the one-sheet workbook and mayoral range A333:C370 were imported, rendered, and visually inspected with the artifact runtime. The workbook reports Olivia Chow at 27% while release prose reports 29%, and it includes a 6% 'Nobody, I won't vote' row omitted from the release. No affirmative redistribution licence was observed."
liaison_2025-10-23_full,tables,https://press.liaisonstrategies.ca/toronto-chow-leads-tory-52-to-36/,https://press.liaisonstrategies.ca/content/files/2025/10/LS-Ontario-Municipal-October-2025-1.pdf,retrieved,2026-08-17T16:06:47Z,application/pdf,529323a302533fcaa3bebebb0ea4716e5d67d1ca315ce89cc531d81fd0e0cfe6,data/source_documents/current_mayoral/liaison_2025-10-23_full.pdf,6051966,53,,partial,passed,public,unknown,,Public first-party artifact; all pages rendered and visually inspected. PDF has a partial text layer. No affirmative redistribution licence was observed; retained in the gitignored internal audit corpus.
liaison_2025-12-21_full,tables,https://press.liaisonstrategies.ca/toronto-chow-leads-tory-39-3-to-35-1/,https://press.liaisonstrategies.ca/content/files/2025/12/LS-Toronto-2025---December.pdf,retrieved,2026-08-17T16:06:47Z,application/pdf,ce3acbca5ee3eba87f7f1ab011d332d9302e077601e92ab5743f8903c24e85ba,data/source_documents/current_mayoral/liaison_2025-12-21_full.pdf,1898847,13,,partial,passed,public,unknown,,Public first-party artifact; all pages rendered and visually inspected. PDF has a partial text layer. No affirmative redistribution licence was observed; retained in the gitignored internal audit corpus.
abacus_2026-01-27_article,article,https://davidcoletto.substack.com/p/with-tory-out-torontos-mayoral-race,,access_pending,,text/html,,,,,,,not_applicable,public,unknown,,First-party article is access-gated behind a claim-free-post prompt; no public table book or downloadable artifact was exposed. The article was not claimed or archived and access controls were not bypassed. Redistribution status is unknown.
liaison_2026-02-02_full,tables,https://press.liaisonstrategies.ca/toronto-chow-40-tory-33-bradford-18/,https://press.liaisonstrategies.ca/content/files/2026/02/2026.02.12---Toronto-Pulse-Check.pdf,retrieved,2026-08-17T16:06:47Z,application/pdf,6bf5490ca7a703540e3ccd5422e139a4a21952529f18b81287e608ec02e11d1a,data/source_documents/current_mayoral/liaison_2026-02-02_full.pdf,5778558,35,,absent,passed,public,unknown,,Public first-party artifact; all pages rendered and visually inspected. Image-only PDF; downstream extraction requires OCR or table vision plus human verification. No affirmative redistribution licence was observed; retained in the gitignored internal audit corpus.
mainstreet_2026-02-22_full,tables,https://www.mainstreetresearch.ca/post/latest-mainstreet-poll-of-toronto-shows-uncertain-choice-for-mayor-in-2026,https://cdn.prod.website-files.com/66c8dfb086a015b3b519e988/699d0f1b19b29143d353a2fb_Toronto_Feb_2026.pdf,retrieved,2026-08-17T16:06:19Z,application/pdf,75ad0c94f0b75f1de66d94744e79430b9c831c97d23adc9f449a6634468783b9,data/source_documents/current_mayoral/mainstreet_2026-02-22_full.pdf,1095481,17,,present,passed,public,prohibited,,"Full edition. The direct first-party static URL returned without authentication, but the site UI labels this edition Subscriber Exclusive. The report expressly prohibits reproduction without Mainstreet Research's written authorization; retained only in the gitignored internal audit corpus."
mainstreet_2026-02-22_public,tables,https://www.mainstreetresearch.ca/post/latest-mainstreet-poll-of-toronto-shows-uncertain-choice-for-mayor-in-2026,https://cdn.prod.website-files.com/66c8dfb086a015b3b519e988/699d0f1e16c4efb458529cc9_Toronto_Feb_2026_Public.pdf,retrieved,2026-08-17T16:06:19Z,application/pdf,6d8dd66cfe2a73b75391610a50f605f1b2025a7ce279db3d60f2f542c4377c8d,data/source_documents/current_mayoral/mainstreet_2026-02-22_public.pdf,1092769,17,,present,passed,public,prohibited,,Public edition. The report expressly prohibits reproduction without Mainstreet Research's written authorization; retained only in the gitignored internal audit corpus.
liaison_2026-03-08_full,tables,https://press.liaisonstrategies.ca/toronto-chow-44-bradford-26-ford-16/,https://press.liaisonstrategies.ca/content/files/2026/03/2026.03.10---Toronto-Pulse-Check.pdf,retrieved,2026-08-17T16:06:47Z,application/pdf,7a4fa7f2e26ef51fdbc3d68315d0b9e8ed2f953a4a988d37a9b1772a969456c5,data/source_documents/current_mayoral/liaison_2026-03-08_full.pdf,2208004,13,,absent,passed,public,unknown,,Public first-party artifact; all pages rendered and visually inspected. Image-only PDF; downstream extraction requires OCR or table vision plus human verification. No affirmative redistribution licence was observed; retained in the gitignored internal audit corpus.
pallas_2026-03-08_full,tables,https://pallas-data.ca/2026/03/10/pallas-toronto-poll-chow-leads-bradford-35-to-29-but-most-think-city-is-going-in-the-wrong-direction/,https://pallas-data.ca/wp-content/uploads/2026/03/PallasData-Toronto-10March2026.pdf,retrieved,2026-08-17T16:06:19Z,application/pdf,005426a871db36dbbcbd876540c2cb6438bb26efab9f3850ac1233e3a50de82c,data/source_documents/current_mayoral/pallas_2026-03-08_full.pdf,3790871,27,,present,passed,public,unknown,,Public first-party artifact; all pages rendered and visually inspected. No affirmative redistribution licence was observed; retained in the gitignored internal audit corpus.
liaison_2026-04-13_full,tables,https://press.liaisonstrategies.ca/toronto-chow-46-bradford-35-voters-split-on-island-airport/,https://press.liaisonstrategies.ca/content/files/2026/04/2026.04.17---Toronto-Pulse-Check.pdf,retrieved,2026-08-17T16:06:47Z,application/pdf,5038760daa8c77d6a42a3c1975d982c21060b6b494da237ebfa838c04ffd07e6,data/source_documents/current_mayoral/liaison_2026-04-13_full.pdf,6096434,34,,absent,passed,public,unknown,,Public first-party artifact; all pages rendered and visually inspected. Image-only PDF; downstream extraction requires OCR or table vision plus human verification. No affirmative redistribution licence was observed; retained in the gitignored internal audit corpus.
