dataset_year,doi,dataset_id,dataset_version,codebook_file_id,codebook_label,expected_bytes,actual_bytes,sha256,md5,zip_ok,page_count,visual_qa,fieldwork_start,fieldwork_end,sample_size,classification,ballot_scenario_count,leaning_follow_up_present,named_candidate_universe,mapping_status,proxy_date,date_relation,legacy_poll_ids,paired_restricted_file_id,paired_restricted_label,results_present,usable_weight_variable_identified,source_notes
2013,doi:10.5683/SP3/2ANYFR,356,3.5,8636,FOM9 Codebook (incomplete).docx,317063,317063,7a0bcfa95aefc2334327da99054ec9c8a382448916716fbc8ede3e9fc682e73d,edbaf6b2a7c575a97de21b2b496dac07,True,8,pass,2013-01-25,2013-01-25,1143,relevant,7,False,Rob Ford | John Tory | Adam Vaughan | Olivia Chow | José Canseco | Denzil Minnan-Wong | Karen Stintz | Shelley Carroll,likely_match_not_promoted,2013-01-25,same_date,toronto_2014-2013-01-25-7682463f | toronto_2014-2013-01-25-a556e530 | toronto_2014-2013-01-25-b9d08ec1 | toronto_2014-2013-01-25-d2df21f9,8648,FOM9_DATA_20131219.tab,False,False,"Filename says incomplete; questionnaire and response value labels are present, but results and a usable weight variable/formula are absent."
2013,doi:10.5683/SP3/2ANYFR,356,3.5,8637,FON9 Codebook (incomplete).docx,318604,318604,a9d5967bc43dac13ed44d4337ee1a108deb8f4d67e38f924e3bc668c59756d20,961c19092a1f4e52c1570d4d0a50def4,True,8,pass,2013-02-22,2013-02-22,838,relevant,3,False,Rob Ford | George Smitherman | Adam Vaughan | Olivia Chow,no_safe_proxy_match,,,,8644,FON9_DATA_20131219.tab,False,False,"Filename says incomplete; questionnaire and response value labels are present, but results and a usable weight variable/formula are absent."
2013,doi:10.5683/SP3/2ANYFR,356,3.5,8633,FOQ7 Codebook (incomplete).docx,311059,311059,440f28af17338e39a8ad0d69dd5716e40300d8a7f882f00a410b63e134e0871f,42e1bc7541eaf66006c62b752efc0ac7,True,6,pass,2013-04-11,2013-04-11,870,relevant,4,False,Rob Ford | Olivia Chow | Bob Rae | Adam Vaughan,no_safe_proxy_match,,,,8649,FOQ7_DATA_20131219.tab,False,False,"Filename says incomplete; questionnaire and response value labels are present, but results and a usable weight variable/formula are absent. | Shares the April 11 date and n=870 with file 8635 but has a different scenario set; respondent-sample relationship is unresolved."
2013,doi:10.5683/SP3/2ANYFR,356,3.5,8635,FOP9 Codebook (incomplete).docx,319882,319882,0b078cc4a8ae175d2ec679093872b8227384bb5c855860953d491e786d44adf4,8ad72209a622df0d929fa7e853b01d1d,True,9,pass,2013-04-11,2013-04-11,870,relevant,5,False,Rob Ford | Sarah Thomson | Olivia Chow | Adam Vaughan | Shelley Carroll,no_safe_proxy_match,,,,8651,FOP9_DATA_20131219.tab,False,False,"Filename says incomplete; questionnaire and response value labels are present, but results and a usable weight variable/formula are absent. | Shares the April 11 date and n=870 with file 8633 but has a different scenario set; respondent-sample relationship is unresolved."
2013,doi:10.5683/SP3/2ANYFR,356,3.5,8630,FOV1 Codebook (incomplete).docx,319941,319941,63a6d36a6c8390ea345b43397a564f88662dc6871edc403b4732484d19b5854c,be61d029a4ac214cba2dc475b88d9c0f,True,9,pass,2013-05-10,2013-05-10,1011,relevant,8,False,Rob Ford | Olivia Chow | Karen Stintz | Adam Vaughan | John Tory,likely_match_not_promoted,2013-05-13,date_shift,toronto_2014-2013-05-13-586501f0 | toronto_2014-2013-05-13-9b716dba | toronto_2014-2013-05-13-d3c182cc | toronto_2014-2013-05-13-dc2249d8,8645,FOV1_DATA_20131219.tab,False,False,"Filename says incomplete; questionnaire and response value labels are present, but results and a usable weight variable/formula are absent."
2013,doi:10.5683/SP3/2ANYFR,356,3.5,8638,FOW3 Codebook (incomplete).docx,321146,321146,cd4faec1721e92abe90b0ac2b17d76e3f2d0b2cc9097e4d502ef25ab295c1a26,4c494a1f470c1392f6be168d11e32b29,True,10,pass,2013-06-25,2013-06-25,1260,relevant,10,False,Rob Ford | Olivia Chow | John Tory | Denzil Minnan-Wong | Karen Stintz,no_safe_proxy_match,,,,8643,FOW3_DATA_20131219.tab,False,False,"Filename says incomplete; questionnaire and response value labels are present, but results and a usable weight variable/formula are absent."
2013,doi:10.5683/SP3/2ANYFR,356,3.5,8631,FO1C Codebook (incomplete).docx,317986,317986,8e5be35fdc16639e0ce5f8a35302c510b44346355b0b776966e1bfca6072b2fd,4df14d3838859c04ed405bf690784bce,True,9,pass,2013-07-29,2013-07-29,1414,relevant,4,False,Rob Ford | Olivia Chow | John Tory | Adam Giambrone | Karen Stintz,no_safe_proxy_match,,,,8650,FO1C_DATA_20131219.tab,False,False,"Filename says incomplete; questionnaire and response value labels are present, but results and a usable weight variable/formula are absent."
2013,doi:10.5683/SP3/2ANYFR,356,3.5,8634,FO1Q Codebook (incomplete).docx,317464,317464,3a3f98f2f28b86c34b5a6b0777d819f1e0d7d76f4ca7a724434df205c23975ef,377e46800832f6add6152c5f95ed15ea,True,9,pass,2013-08-29,2013-08-29,870,relevant,5,False,Rob Ford | Olivia Chow | John Tory | Karen Stintz | Denzil Minnan-Wong,likely_match_not_promoted,2013-08-29,same_date,toronto_2014-2013-08-29-056a657f | toronto_2014-2013-08-29-10ac3a3c | toronto_2014-2013-08-29-127e27bb | toronto_2014-2013-08-29-4d46f0e0 | toronto_2014-2013-08-29-dcebef42,8652,FO1Q_DATA_20131219.tab,False,False,"Filename says incomplete; questionnaire and response value labels are present, but results and a usable weight variable/formula are absent."
2013,doi:10.5683/SP3/2ANYFR,356,3.5,8632,FO2C Codebook (incomplete).docx,317285,317285,41eeb01cb014e5292a7cd5bccf0b53560cb18dbc6cddfa7c62bdd9147cfc9932,c823a9272848387c88610d5cc0c7ae13,True,8,pass,2013-09-20,2013-09-20,1119,relevant,5,False,Karen Stintz | Olivia Chow | John Tory | Denzil Minnan-Wong,no_safe_proxy_match,,,,8641,FO2C_DATA_20131219.tab,False,False,"Filename says incomplete; questionnaire and response value labels are present, but results and a usable weight variable/formula are absent."
2013,doi:10.5683/SP3/2ANYFR,356,3.5,8639,FO2W Codebook (incomplete).docx,315800,315800,c9e39fc76db4e346a7c87a365a79139d9b68178644c714df863bdf1b6881785f,9f592e43a1a32b3b25b14e238df4cfa0,True,8,pass,2013-10-28,2013-10-28,1125,relevant,5,False,Rob Ford | Karen Stintz | David Soknacki | Olivia Chow | John Tory | Denzil Minnan-Wong,no_safe_proxy_match,,,,8647,FO2W_DATA_20131219.tab,False,False,"Filename says incomplete; questionnaire and response value labels are present, but results and a usable weight variable/formula are absent."
