reading_id,response_order,response_label,response_kind,share_pct,source_page,source_notes
forum_city_primary,1,Olivia Chow,candidate,48,3,
forum_city_primary,2,Brad Bradford,candidate,36,3,
forum_city_primary,3,Someone else,other_candidate,17,3,Do not combine with undecided
forum_city_alexander,1,Olivia Chow,candidate,47,4,
forum_city_alexander,2,Brad Bradford,candidate,32,4,
forum_city_alexander,3,Chris Alexander,candidate,11,4,
forum_city_alexander,4,Someone else,other_candidate,10,4,Do not combine with undecided
mainstreet_feb_all,1,Olivia Chow,candidate,31.2,4,
mainstreet_feb_all,2,John Tory,candidate,23.5,4,
mainstreet_feb_all,3,Brad Bradford,candidate,12,4,
mainstreet_feb_all,4,Anthony Furey,candidate,5.3,4,
mainstreet_feb_all,5,Undecided,undecided,28,4,
mainstreet_feb_adjusted,1,Olivia Chow,candidate,36,7,
mainstreet_feb_adjusted,2,John Tory,candidate,28.2,7,
mainstreet_feb_adjusted,3,Brad Bradford,candidate,13.9,7,
mainstreet_feb_adjusted,4,Anthony Furey,candidate,5.4,7,
mainstreet_feb_adjusted,5,Undecided,undecided,16.4,7,
mainstreet_feb_decided,1,Olivia Chow,candidate,43.1,10,
mainstreet_feb_decided,2,John Tory,candidate,33.8,10,
mainstreet_feb_decided,3,Brad Bradford,candidate,16.7,10,
mainstreet_feb_decided,4,Anthony Furey,candidate,6.5,10,
mainstreet_jun_all,1,Olivia Chow,candidate,35,4,
mainstreet_jun_all,2,Brad Bradford,candidate,30.5,4,
mainstreet_jun_all,3,Someone Else,other_candidate,13.1,4,
mainstreet_jun_all,4,Undecided,undecided,21.4,4,
mainstreet_jun_leaning,1,Olivia Chow,candidate,36.2,6,
mainstreet_jun_leaning,2,Brad Bradford,candidate,31.4,6,
mainstreet_jun_leaning,3,Someone Else,other_candidate,15.5,6,
mainstreet_jun_leaning,4,Undecided,undecided,17,6,
mainstreet_jun_decided,1,Olivia Chow,candidate,43.6,8,
mainstreet_jun_decided,2,Brad Bradford,candidate,37.8,8,
mainstreet_jun_decided,3,Someone Else,other_candidate,18.6,8,
mainstreet_jun_two_way,1,Olivia Chow,candidate,48.1,10,
mainstreet_jun_two_way,2,Brad Bradford,candidate,51.9,10,
liaison_jul_tory,1,Ana Bailao,candidate,6,20,Source omits accent in label
liaison_jul_tory,2,Brad Bradford,candidate,7,20,
liaison_jul_tory,3,Olivia Chow,candidate,34,20,
liaison_jul_tory,4,Anthony Furey,candidate,5,20,
liaison_jul_tory,5,Marco Mendicino,candidate,3,20,
liaison_jul_tory,6,John Tory,candidate,31,20,
liaison_jul_tory,7,Someone Else,other_candidate,2,20,
liaison_jul_tory,8,Undecided,undecided,12,20,
liaison_jul_no_tory,1,Ana Bailao,candidate,11,21,Source omits accent in label
liaison_jul_no_tory,2,Brad Bradford,candidate,16,21,
liaison_jul_no_tory,3,Olivia Chow,candidate,41,21,
liaison_jul_no_tory,4,Anthony Furey,candidate,10,21,
liaison_jul_no_tory,5,Marco Mendicino,candidate,3,21,
liaison_jul_no_tory,6,Someone Else,other_candidate,3,21,
liaison_jul_no_tory,7,Undecided,undecided,16,21,
liaison_aug_all,1,Olivia Chow,candidate,38,1,
liaison_aug_all,2,Brad Bradford,candidate,32,1,
liaison_aug_all,3,Chris Alexander,candidate,8,1,
liaison_aug_all,4,Someone else,other_candidate,3,1,
liaison_aug_all,5,Undecided,undecided,20,1,Source total is 101 due to rounding
liaison_aug_decided,1,Olivia Chow,candidate,47,2,
liaison_aug_decided,2,Brad Bradford,candidate,40,2,
liaison_aug_decided,3,Chris Alexander,candidate,10,2,
liaison_aug_decided,4,Someone else,other_candidate,3,2,
ipsos_all,1,Olivia Chow,candidate,33,24,
ipsos_all,2,John Tory,candidate,25,24,
ipsos_all,3,Some other candidate,other_candidate,31,24,
