sample_id,document_id,pollster,sponsor,geography,target_population,field_start,field_end,collection_mode,parent_unweighted_n,parent_weighted_n,weighting,source_pages,metadata_notes
forum_city_2026_07_29_n1011,forum_2026-07-29_full,Forum Research,,Toronto,Toronto residents aged 18+,2026-07-29,2026-07-29,IVR telephone (78% cellphone; 22% landline),1011,,Age and gender are evidenced by reading tables,1-3,Release calls respondents Toronto voters in prose but methodology says residents over 18
mainstreet_city_2026_02_20_22_n802,mainstreet_2026-02-22_full,Mainstreet Research,,Toronto,Toronto adults aged 18+; intended to represent voting population,2026-02-20,2026-02-22,Smart IVR on landlines and cellphones,802,802,Weighting variables not stated in methodology,2-10,Poll conducted in English
mainstreet_city_2026_06_12_18_n1157,mainstreet_2026-06-18_full,Mainstreet Research,,Toronto,Toronto adults aged 18+; intended to represent voting population,2026-06-12,2026-06-18,SMS-to-online plus IVR on landlines and cellphones,1157,1157,Gender; age; region; education,1-10,Cover and methodology agree on dates and sample
liaison_city_2025_07_02_06_n1000,liaison_2025-07-06_full,Liaison Strategies,National Ethnic Press and Media Council of Canada / Toronto Star,Toronto,Torontonians,2025-07-02,2025-07-06,IVR,1000,1000,Demographic and geographic targets based on 2021 Census,1;4;20-21,Release date July 14 2025
liaison_city_2026_08_04_05_n1000,liaison_2026-08-05_tables,Liaison Strategies,Toronto Star,Toronto,Not stated in tables-only artifact,2026-08-04,2026-08-05,Not stated in tables-only artifact,1000,1000,Not stated in tables-only artifact,1-2,Publication date August 7 2026
ipsos_city_2025_08_25_29_n1001,ipsos_2025-08-29_full,Ipsos,Toronto Star,Toronto,Toronto residents aged 18+,2025-08-25,2025-08-29,Online,1001,,Quotas and weighting to census parameters,24;26,Question base is reported as all respondents n=1001 without weighted/unweighted distinction
pallas_city_2026_03_07_08_n735,pallas_2026-03-08_full,Pallas Data,,Toronto,Toronto adults aged 18+ eligible to vote municipally,2026-03-07,2026-03-08,IVR on landlines and cellphones,735,735,Age; gender; region to 2021 Census,3;12-15,Publication/title date March 9 2026
forum_ward11_2026_08_12_n449,ward11_2026-08-12_forum,Forum Research,,Ward 11 University-Rosedale,Ward residents aged 18+,2026-08-12,2026-08-12,IVR telephone,449,,Age and gender are evidenced by reading tables,1-4,Each question has a different response base; page 4 prints leaning follow-ups and bases but no denominator label
nanos_city_2014_09_16_20_n1000,nanos_2014-09_full,Nanos Research,CTV News / The Globe and Mail,Toronto,Very likely Toronto municipal voters,2014-09-16,2014-09-20,RDD dual-frame landline and cellphone telephone with live agents,1000,,Not stated in inspected methodology,2-5;16-19,The PDF also embeds August comparison data from a different sample
viewpoints_city_2023_06_15_19_n1007,viewpoints_2023-06-15_19_full,Viewpoints Research,,Toronto,Toronto mayoral by-election respondents,2023-06-15,2023-06-19,Not stated in PDF table,1007,,Toronto region; gender; age,1,Field range comes from first-party release lineage; PDF labels the wave June 19 and also contains June 2 and May 2 comparison samples
viewpoints_city_2023_04_29_05_02_n400,viewpoints_2023-05-02_full,Viewpoints Research,Broadbent Institute,Toronto,Torontonians aged 18+ who intended to vote in the mayoral by-election,2023-04-29,2023-05-02,Online,400,,Toronto gender and age,1,PDF header is May 3; first-party article is dated May 4 and supplies fieldwork method population and sponsor
